LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,529,576
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,493,557
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1022,1133
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1135,962
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,915,1023
CITY OF ALHAMBRA,N,37025,TOTAL,5368,2050,1985
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,939,794
CITY OF ARCADIA,N,0,VBM PORTION,3054,933,1127
CITY OF ARCADIA,N,29165,TOTAL,5433,1872,1921
CITY OF ARTESIA,N,7390,POLLING PLACE,555,241,157
CITY OF ARTESIA,N,0,VBM PORTION,596,231,190
CITY OF ARTESIA,N,7390,TOTAL,1149,472,347
CITY OF AVALON,N,1730,POLLING PLACE,190,71,60
CITY OF AVALON,N,0,VBM PORTION,184,55,62
CITY OF AVALON,N,1730,TOTAL,374,126,122
CITY OF AZUSA,N,18442,POLLING PLACE,1308,630,359
CITY OF AZUSA,N,0,VBM PORTION,1201,494,429
CITY OF AZUSA,N,18442,TOTAL,2508,1124,788
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,919,440
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,680,420
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1599,860
CITY OF BELL,N,11175,POLLING PLACE,618,292,187
CITY OF BELL,N,0,VBM PORTION,349,171,107
CITY OF BELL,N,11175,TOTAL,966,463,294
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,267,142
CITY OF BELL GARDENS,N,0,VBM PORTION,316,175,91
CITY OF BELL GARDENS,N,12887,TOTAL,855,442,233
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1054,608
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,840,632
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1894,1240
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,582,724
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,623,858
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1205,1582
CITY OF BRADBURY,N,599,POLLING PLACE,66,30,24
CITY OF BRADBURY,N,0,VBM PORTION,67,28,20
CITY OF BRADBURY,N,599,TOTAL,133,58,44
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1929,1543
CITY OF BURBANK,N,0,VBM PORTION,4858,1877,1604
CITY OF BURBANK,N,60155,TOTAL,9510,3806,3147
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,501,448
CITY OF CALABASAS,N,0,VBM PORTION,1873,567,727
CITY OF CALABASAS,N,14914,TOTAL,3327,1068,1175
CITY OF CARSON,N,52903,POLLING PLACE,5087,1876,2145
CITY OF CARSON,N,0,VBM PORTION,4089,1554,1667
CITY OF CARSON,N,52903,TOTAL,9175,3430,3812
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1234,810
CITY OF CERRITOS,N,0,VBM PORTION,3286,1143,1111
CITY OF CERRITOS,N,31594,TOTAL,6062,2377,1921
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1002,1170
CITY OF CLAREMONT,N,0,VBM PORTION,2652,858,1042
CITY OF CLAREMONT,N,22235,TOTAL,5533,1860,2212
CITY OF COMMERCE,N,6256,POLLING PLACE,444,213,113
CITY OF COMMERCE,N,0,VBM PORTION,247,141,62
CITY OF COMMERCE,N,6256,TOTAL,686,354,175
CITY OF COMPTON,N,43063,POLLING PLACE,3022,907,1501
CITY OF COMPTON,N,0,VBM PORTION,1873,635,875
CITY OF COMPTON,N,43063,TOTAL,4894,1542,2376
CITY OF COVINA,N,26090,POLLING PLACE,2040,1010,609
CITY OF COVINA,N,0,VBM PORTION,1877,762,664
CITY OF COVINA,N,26090,TOTAL,3913,1772,1273
CITY OF CUDAHY,N,6697,POLLING PLACE,376,189,100
CITY OF CUDAHY,N,0,VBM PORTION,164,90,50
CITY OF CUDAHY,N,6697,TOTAL,539,279,150
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1162,1221
CITY OF CULVER CITY,N,0,VBM PORTION,3120,910,1179
CITY OF CULVER CITY,N,26286,TOTAL,6708,2072,2400
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1107,860
