LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,990,455
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,843,432
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1833,887
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1818,686
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1529,683
CITY OF ALHAMBRA,N,37025,TOTAL,5368,3347,1369
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1235,934
CITY OF ARCADIA,N,0,VBM PORTION,3054,1492,1086
CITY OF ARCADIA,N,29165,TOTAL,5433,2727,2020
CITY OF ARTESIA,N,7390,POLLING PLACE,555,312,148
CITY OF ARTESIA,N,0,VBM PORTION,596,305,181
CITY OF ARTESIA,N,7390,TOTAL,1149,617,329
CITY OF AVALON,N,1730,POLLING PLACE,190,108,65
CITY OF AVALON,N,0,VBM PORTION,184,99,58
CITY OF AVALON,N,1730,TOTAL,374,207,123
CITY OF AZUSA,N,18442,POLLING PLACE,1308,810,355
CITY OF AZUSA,N,0,VBM PORTION,1201,751,298
CITY OF AZUSA,N,18442,TOTAL,2508,1561,653
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,1165,360
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,842,299
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,2007,659
CITY OF BELL,N,11175,POLLING PLACE,618,416,122
CITY OF BELL,N,0,VBM PORTION,349,206,104
CITY OF BELL,N,11175,TOTAL,966,622,226
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,360,114
CITY OF BELL GARDENS,N,0,VBM PORTION,316,229,61
CITY OF BELL GARDENS,N,12887,TOTAL,855,589,175
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1326,611
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,1151,528
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2477,1139
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,1316,412
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1461,467
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,2777,879
CITY OF BRADBURY,N,599,POLLING PLACE,66,40,24
CITY OF BRADBURY,N,0,VBM PORTION,67,28,27
CITY OF BRADBURY,N,599,TOTAL,133,68,51
CITY OF BURBANK,N,60155,POLLING PLACE,4654,3002,1289
CITY OF BURBANK,N,0,VBM PORTION,4858,2786,1369
CITY OF BURBANK,N,60155,TOTAL,9510,5788,2658
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,859,424
CITY OF CALABASAS,N,0,VBM PORTION,1873,1047,508
CITY OF CALABASAS,N,14914,TOTAL,3327,1906,932
CITY OF CARSON,N,52903,POLLING PLACE,5087,3824,798
CITY OF CARSON,N,0,VBM PORTION,4089,2844,683
CITY OF CARSON,N,52903,TOTAL,9175,6668,1481
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1610,877
CITY OF CERRITOS,N,0,VBM PORTION,3286,1722,1026
CITY OF CERRITOS,N,31594,TOTAL,6062,3332,1903
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1939,758
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1697,679
CITY OF CLAREMONT,N,22235,TOTAL,5533,3636,1437
CITY OF COMMERCE,N,6256,POLLING PLACE,444,326,68
CITY OF COMMERCE,N,0,VBM PORTION,247,148,52
CITY OF COMMERCE,N,6256,TOTAL,686,474,120
CITY OF COMPTON,N,43063,POLLING PLACE,3022,2369,354
CITY OF COMPTON,N,0,VBM PORTION,1873,1349,249
CITY OF COMPTON,N,43063,TOTAL,4894,3718,603
CITY OF COVINA,N,26090,POLLING PLACE,2040,1195,705
CITY OF COVINA,N,0,VBM PORTION,1877,1070,532
CITY OF COVINA,N,26090,TOTAL,3913,2265,1237
CITY OF CUDAHY,N,6697,POLLING PLACE,376,257,66
CITY OF CUDAHY,N,0,VBM PORTION,164,111,31
CITY OF CUDAHY,N,6697,TOTAL,539,368,97
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,2558,670
CITY OF CULVER CITY,N,0,VBM PORTION,3120,2080,544
CITY OF CULVER CITY,N,26286,TOTAL,6708,4638,1214
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1396,999
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1494,1098
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,2890,2097
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,3338,1900
CITY OF DOWNEY,N,0,VBM PORTION,3452,1952,1034
CITY OF DOWNEY,N,54713,TOTAL,9292,5290,2934
CITY OF DUARTE,N,11742,POLLING PLACE,960,592,287
CITY OF DUARTE,N,0,VBM PORTION,1099,678,291
CITY OF DUARTE,N,11742,TOTAL,2059,1270,578
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,1506,570
