LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
CITY OF BEVERLY HILLS,N,12,POLLING PLACE,0,0,0,0,0,0,0,0
CITY OF BEVERLY HILLS,N,0,VBM PORTION,4,0,2,0,0,1,0,0
CITY OF BEVERLY HILLS,N,12,TOTAL,4,0,2,0,0,1,0,0
CITY OF CULVER CITY,N,0,POLLING PLACE,0,0,0,0,0,0,0,0
CITY OF CULVER CITY,N,0,VBM PORTION,8,2,0,0,0,0,0,0
CITY OF CULVER CITY,N,0,TOTAL,4,2,0,0,0,0,0,0
CITY OF GARDENA,N,7092,POLLING PLACE,978,326,33,27,27,258,147,58
CITY OF GARDENA,N,0,VBM PORTION,530,134,23,13,18,166,76,24
CITY OF GARDENA,N,7092,TOTAL,1505,460,56,40,45,424,223,82
CITY OF HAWTHORNE,N,2161,POLLING PLACE,308,161,9,6,4,18,51,27
CITY OF HAWTHORNE,N,0,VBM PORTION,203,86,9,5,4,12,43,16
CITY OF HAWTHORNE,N,2161,TOTAL,508,247,18,11,8,30,94,43
CITY OF INGLEWOOD,N,339,POLLING PLACE,30,19,0,0,0,0,4,2
CITY OF INGLEWOOD,N,0,VBM PORTION,40,14,3,0,5,3,2,1
CITY OF INGLEWOOD,N,339,TOTAL,67,33,3,0,5,3,6,3
CITY OF LOS ANGELES,N,299377,POLLING PLACE,25719,9843,759,1072,1599,797,5418,2245
CITY OF LOS ANGELES,N,0,VBM PORTION,21158,6669,763,1044,1187,889,4159,1601
CITY OF LOS ANGELES,N,299377,TOTAL,46867,16512,1522,2116,2786,1686,9577,3846
UNINCORPORATED,N,31111,POLLING PLACE,3165,1689,104,67,122,92,634,174
UNINCORPORATED,N,0,VBM PORTION,2193,971,90,98,114,92,382,116
UNINCORPORATED,N,31111,TOTAL,5349,2660,194,165,236,184,1016,290
