LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,877,411,86,982,261,57,528
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,773,512,101,1212,265,60,662
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,1650,923,187,2194,526,117,1190
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,4792,2460,605,8252,2249,495,3316
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,4726,3438,775,9917,2393,591,4043
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,9518,5898,1380,18169,4642,1086,7359
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,99,79,14,288,34,9,124
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,76,113,19,253,47,12,136
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,175,192,33,541,81,21,260
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,2110,2247,705,16780,1401,508,4272
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,2060,3766,836,16621,1521,524,4123
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,4170,6013,1541,33401,2922,1032,8395
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,2290,2070,706,20022,1475,642,3048
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,1932,3225,876,18772,1517,659,3091
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,4222,5295,1582,38794,2992,1301,6139
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,941,845,530,10335,1106,436,1593
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,762,1116,559,9510,952,313,1370
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,1703,1961,1089,19845,2058,749,2963
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,3553,1680,799,19782,2450,710,3649
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,3260,2712,866,20225,1999,620,3554
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,6813,4392,1665,40007,4449,1330,7203
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,1811,1772,653,11030,1344,550,3756
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,1368,2060,665,10220,1124,382,3189
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,3179,3832,1318,21250,2468,932,6945
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,5270,3390,1325,32138,3490,1093,4691
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,5388,4743,1240,28851,3301,956,5136
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,10658,8133,2565,60989,6791,2049,9827
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,581,694,590,12961,739,494,1098
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,544,687,461,10148,632,311,1029
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,1125,1381,1051,23109,1371,805,2127
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,193,155,93,1977,271,76,337
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,193,229,98,1826,202,62,394
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,386,384,191,3803,473,138,731
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,863,862,699,26100,880,561,1500
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,908,970,563,22265,815,452,1470
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,1771,1832,1262,48365,1695,1013,2970
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,2403,1825,704,12646,1829,410,3242
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,1853,2377,720,11574,1384,383,2960
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,4256,4202,1424,24220,3213,793,6202
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,919,636,189,3442,605,120,1111
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,928,1174,297,3964,689,139,1473
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,1847,1810,486,7406,1294,259,2584
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,800,1062,509,8961,722,341,1248
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,525,636,311,5483,452,182,779
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,1325,1698,820,14444,1174,523,2027
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,1717,1431,557,18025,1784,497,2272
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,1449,1476,591,14798,1337,444,2116
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,3166,2907,1148,32823,3121,941,4388
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,733,997,562,13928,726,319,1101
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,604,841,401,10497,586,186,1102
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,1337,1838,963,24425,1312,505,2203
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,2229,1461,753,13966,1153,499,2958
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,2057,2006,712,13209,1164,481,2847
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,4286,3467,1465,27175,2317,980,5805
