LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LUIS J RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G BROWN,JANEL H BUYCKS,ANDREW BLOUNT,RAKESH K CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,"""BO"" B AMBROZEWICZ",AKINYEMI AGBEDE,RICHARD W AGUIRRE,ROBERT NEWMAN,CINDY L SHEEHAN,JOE LEICHT
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,39,20,1032,12,38,29,108,1128,928,13,41,21,38,19,5
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,26,32,1238,16,75,41,133,1297,868,9,41,13,43,29,12
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,65,52,2270,28,113,70,241,2425,1796,22,82,34,81,48,17
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,225,162,8089,50,246,156,432,7817,5666,107,350,109,202,179,57
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,185,202,10200,79,408,128,559,8468,6369,129,329,120,330,269,70
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,410,364,18289,129,654,284,991,16285,12035,236,679,229,532,448,127
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,3,5,308,0,12,1,7,290,80,2,0,0,4,5,2
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,2,4,309,1,13,1,21,251,116,1,0,4,5,10,6
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,5,9,617,1,25,2,28,541,196,3,0,4,9,15,8
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,490,166,17726,128,398,72,281,6155,4216,60,390,211,171,319,53
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,350,267,18826,162,615,65,383,6758,4244,73,314,185,212,292,57
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,840,433,36552,290,1013,137,664,12913,8460,133,704,396,383,611,110
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,730,261,21143,65,357,86,341,5450,3486,100,262,143,314,590,88
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,492,337,20620,84,577,70,461,5744,3588,120,235,150,356,501,78
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,1222,598,41763,149,934,156,802,11194,7074,220,497,293,670,1091,166
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,845,217,10804,56,132,20,138,2416,1819,101,367,165,174,263,27
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,412,217,9914,83,196,37,177,2265,1742,75,229,100,153,228,40
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,1257,434,20718,139,328,57,315,4681,3561,176,596,265,327,491,67
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,589,314,20760,54,337,72,304,8340,4041,88,218,102,182,453,130
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,340,414,22102,76,574,58,493,7916,3796,102,188,99,215,357,109
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,929,728,42862,130,911,130,797,16256,7837,190,406,201,397,810,239
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,413,140,12169,125,419,88,283,4917,3605,83,306,229,180,190,59
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,246,156,11213,111,524,58,320,4224,3015,71,267,175,171,170,35
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,659,296,23382,236,943,146,603,9141,6620,154,573,404,351,360,94
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,750,289,33916,107,691,198,551,12430,5656,155,324,172,312,864,86
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,486,376,31765,137,1049,135,770,12762,5916,132,207,179,288,611,112
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,1236,665,65681,244,1740,333,1321,25192,11572,287,531,351,600,1475,198
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,1096,191,13790,70,99,102,165,1500,1154,82,555,179,147,359,63
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,426,135,10893,60,173,70,165,1304,1228,61,298,98,128,245,28
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,1522,326,24683,130,272,172,330,2804,2382,143,853,277,275,604,91
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,127,25,1939,10,21,4,88,455,469,14,119,35,48,45,9
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,63,21,1861,23,44,5,58,546,457,11,67,17,42,42,9
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,190,46,3800,33,65,9,146,1001,926,25,186,52,90,87,18
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,729,160,27041,167,165,53,148,2456,1915,114,695,122,168,575,82
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,377,166,23175,163,259,31,166,2497,1794,88,451,99,151,392,38
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,1106,326,50216,330,424,84,314,4953,3709,202,1146,221,319,967,120
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,568,237,13293,120,355,87,343,5339,3712,61,296,371,300,268,74
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,310,288,12395,119,477,47,432,4941,3345,68,301,255,279,224,49
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,878,525,25688,239,832,134,775,10280,7057,129,597,626,579,492,123
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,82,70,3760,21,92,20,95,2007,1303,30,73,107,75,67,5
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,73,117,4648,47,203,31,157,2218,1619,42,85,132,93,87,18
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,155,187,8408,68,295,51,252,4225,2922,72,158,239,168,154,23
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,771,247,9796,59,174,74,196,1987,1279,70,357,158,197,216,69
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,263,109,5787,60,116,26,132,1308,854,28,203,59,123,124,20
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,1034,356,15583,119,290,100,328,3295,2133,98,560,217,320,340,89
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,461,359,19280,159,250,122,308,4172,2989,60,526,107,170,249,51
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,268,344,15399,150,331,96,346,3560,2645,50,386,87,195,249,52
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,729,703,34679,309,581,218,654,7732,5634,110,912,194,365,498,103
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,574,142,14655,254,236,85,171,1626,1358,75,631,130,175,195,35
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,250,120,10715,148,174,34,159,1647,1267,40,387,86,123,171,33
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,824,262,25370,402,410,119,330,3273,2625,115,1018,216,298,366,68
