LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
25TH US CONGRESSIONAL,N,31,POLLING PLACE,0,0,0,0
25TH US CONGRESSIONAL,N,0,VBM PORTION,10,4,1,0
25TH US CONGRESSIONAL,N,31,TOTAL,10,4,1,0
28TH US CONGRESSIONAL,N,1955,POLLING PLACE,137,49,67,5
28TH US CONGRESSIONAL,N,0,VBM PORTION,163,54,78,21
28TH US CONGRESSIONAL,N,1955,TOTAL,300,103,145,26
29TH US CONGRESSIONAL,N,271406,POLLING PLACE,18038,5059,10183,1443
29TH US CONGRESSIONAL,N,0,VBM PORTION,16394,4125,9586,1226
29TH US CONGRESSIONAL,N,271406,TOTAL,34422,9184,19769,2669
30TH US CONGRESSIONAL,N,139141,POLLING PLACE,13560,3664,7985,948
30TH US CONGRESSIONAL,N,0,VBM PORTION,12766,3334,7438,749
30TH US CONGRESSIONAL,N,139141,TOTAL,26321,6998,15423,1697
