LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
25TH US CONGRESSIONAL,N,4482,POLLING PLACE,452,228
25TH US CONGRESSIONAL,N,0,VBM PORTION,477,200
25TH US CONGRESSIONAL,N,4482,TOTAL,929,428
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,228
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,255
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,483
27TH US CONGRESSIONAL,N,350351,POLLING PLACE,31839,13063
27TH US CONGRESSIONAL,N,0,VBM PORTION,33984,14824
27TH US CONGRESSIONAL,N,350351,TOTAL,65812,27887
28TH US CONGRESSIONAL,N,391932,POLLING PLACE,35046,14399
28TH US CONGRESSIONAL,N,0,VBM PORTION,37258,15621
28TH US CONGRESSIONAL,N,391932,TOTAL,72298,30020
29TH US CONGRESSIONAL,N,96947,POLLING PLACE,6520,3060
29TH US CONGRESSIONAL,N,0,VBM PORTION,5987,3079
29TH US CONGRESSIONAL,N,96947,TOTAL,12501,6139
30TH US CONGRESSIONAL,N,321569,POLLING PLACE,30040,11904
30TH US CONGRESSIONAL,N,0,VBM PORTION,31440,13899
30TH US CONGRESSIONAL,N,321569,TOTAL,61472,25803
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,9826
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,9823
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,19649
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,29159
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,28052
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,57211
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,10062
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,8543
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,18605
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,19265
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,17020
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,36285
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,11098
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,11322
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,22420
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,3180
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,4323
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,7503
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,7547
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,5099
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,12646
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,15770
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,13776
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,29546
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,11477
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,9137
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,20614
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,11639
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,12141
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,23780
