LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,662,2303
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,892,2354
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,1554,4657
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,5069,14940
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,6234,16739
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,11303,31679
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,199,336
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,158,399
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,357,735
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,10401,14855
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,10971,14438
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,21372,29293
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,11897,14700
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,11773,13867
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,23670,28567
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,6313,8712
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,5545,7833
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,11858,16545
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,11440,17987
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,11278,17874
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,22718,35861
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,6430,13298
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,6171,10893
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,12601,24191
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,19351,24472
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,17970,22698
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,37321,47170
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,7286,9243
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,5425,7288
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,12711,16531
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1061,1921
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,973,1763
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,2034,3684
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,11617,16970
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,10886,12817
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,22503,29787
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,7152,14645
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,6888,12505
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,14040,27150
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,2063,4393
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,2694,5066
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,4757,9459
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,4768,8767
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,2675,5282
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,7443,14049
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,7998,17351
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,7913,12474
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,15911,29825
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,5341,12591
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,4474,8606
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,9815,21197
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,6292,14151
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,6202,13595
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,12494,27746
