LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,1932,329,662
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2033,364,811
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,3965,693,1473
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,11993,2439,5166
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,13255,2951,6489
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,25248,5390,11655
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,302,45,195
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,286,56,200
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,588,101,395
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,11730,2630,10292
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,11545,2804,10506
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,23275,5434,20798
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,10648,3026,12372
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,10482,3280,11446
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,21130,6306,23818
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,6511,1861,6237
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,5938,1768,5387
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,12449,3629,11624
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,14026,3112,11603
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,14016,3200,11293
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,28042,6312,22896
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,10242,2392,6758
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,8409,2025,6404
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,18651,4417,13162
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,18676,4296,19946
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,17710,4182,18006
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,36386,8478,37952
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,6239,2132,7651
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,4724,1891,5753
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,10963,4023,13404
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1534,370,1002
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1348,350,1006
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,2882,720,2008
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,10115,2555,15145
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,8281,2421,12311
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,18396,4976,27456
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,11564,2888,6929
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,9678,2594,6786
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,21242,5482,13715
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,3266,950,2039
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,3715,1142,2635
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,6981,2092,4674
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,6510,1751,4911
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,3884,1072,2877
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,10394,2823,7788
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,11211,2981,10204
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,8561,2681,8358
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,19772,5662,18562
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,7840,2194,7433
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,5334,1791,5732
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,13174,3985,13165
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,9956,2276,7746
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,9374,2239,7879
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,19330,4515,15625
