LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,131,345,519,43,138,91,462,247,179,137,146,550
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,152,336,466,40,155,49,610,284,182,176,209,557
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,283,681,985,83,293,140,1072,531,361,313,355,1107
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,839,3219,3366,334,820,772,3190,1422,1192,968,1002,2988
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,1054,3232,3277,319,947,617,3476,1470,1311,1327,1522,3805
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,1893,6451,6643,653,1767,1389,6666,2892,2503,2295,2524,6793
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,14,41,128,5,35,19,153,31,22,26,28,49
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,16,47,110,5,33,22,97,47,24,29,28,82
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,30,88,238,10,68,41,250,78,46,55,56,131
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,942,2935,5422,531,1086,659,4442,2544,2433,1162,1617,1530
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,1124,3869,4688,445,1049,431,4498,2134,2077,1278,2321,1878
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,2066,6804,10110,976,2135,1090,8940,4678,4510,2440,3938,3408
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,758,2022,5972,491,1655,811,7077,1917,1694,1122,1664,1848
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,863,2373,5019,461,1719,562,6167,1629,1556,1317,2082,2064
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,1621,4395,10991,952,3374,1373,13244,3546,3250,2439,3746,3912
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,503,1556,2249,252,604,1195,2971,1206,2016,777,842,1125
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,497,1376,1798,220,523,661,2508,1045,1459,838,1041,1306
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,1000,2932,4047,472,1127,1856,5479,2251,3475,1615,1883,2431
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,936,4149,6693,391,1118,858,5961,2322,1555,1211,1523,2614
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,915,4018,5282,297,1239,591,5672,2265,1483,1580,2047,3017
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,1851,8167,11975,688,2357,1449,11633,4587,3038,2791,3570,5631
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,630,1580,2726,371,877,1058,3141,1898,3757,1017,1136,1732
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,575,1706,2133,336,774,543,2735,1405,2818,1073,1333,1609
