LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JUVENTINO GOMEZ,HILDA L SOLIS,A  A SAUCEDO HOOD
27TH US CONGRESSIONAL,N,74456,POLLING PLACE,6657,746,3836,955
27TH US CONGRESSIONAL,N,0,VBM PORTION,7060,626,3832,1097
27TH US CONGRESSIONAL,N,74456,TOTAL,13716,1372,7668,2052
28TH US CONGRESSIONAL,N,39513,POLLING PLACE,3627,362,2452,307
28TH US CONGRESSIONAL,N,0,VBM PORTION,2793,246,1650,331
28TH US CONGRESSIONAL,N,39513,TOTAL,6420,608,4102,638
32ND US CONGRESSIONAL,N,196479,POLLING PLACE,12684,1658,7672,1874
32ND US CONGRESSIONAL,N,0,VBM PORTION,11043,1318,6090,1788
32ND US CONGRESSIONAL,N,196479,TOTAL,23717,2976,13762,3662
34TH US CONGRESSIONAL,N,192580,POLLING PLACE,15977,1886,10189,1473
34TH US CONGRESSIONAL,N,0,VBM PORTION,12044,1396,6581,1603
34TH US CONGRESSIONAL,N,192580,TOTAL,28017,3282,16770,3076
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,444,1903,667
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,412,1564,753
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,856,3467,1420
37TH US CONGRESSIONAL,N,5980,POLLING PLACE,299,35,183,19
37TH US CONGRESSIONAL,N,0,VBM PORTION,173,21,95,28
37TH US CONGRESSIONAL,N,5980,TOTAL,472,56,278,47
38TH US CONGRESSIONAL,N,71507,POLLING PLACE,4898,559,3187,632
38TH US CONGRESSIONAL,N,0,VBM PORTION,3898,394,2296,594
38TH US CONGRESSIONAL,N,71507,TOTAL,8792,953,5483,1226
39TH US CONGRESSIONAL,N,18008,POLLING PLACE,1247,194,554,278
39TH US CONGRESSIONAL,N,0,VBM PORTION,1659,215,699,310
39TH US CONGRESSIONAL,N,18008,TOTAL,2906,409,1253,588
40TH US CONGRESSIONAL,N,97364,POLLING PLACE,6113,700,4179,466
40TH US CONGRESSIONAL,N,0,VBM PORTION,3125,422,2013,351
40TH US CONGRESSIONAL,N,97364,TOTAL,9234,1122,6192,817
44TH US CONGRESSIONAL,N,41621,POLLING PLACE,2241,289,1448,238
44TH US CONGRESSIONAL,N,0,VBM PORTION,1323,172,781,211
44TH US CONGRESSIONAL,N,41621,TOTAL,3563,461,2229,449
