LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RUDY MELENDEZ,P CONLEY ULICH,YUVAL D KREMER,SHEILA KUEHL,DOUG FAY,ERIC PREVEN,JOHN DURAN,BOBBY SHRIVER
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,2,36,25,199,15,7,170,158
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,9,48,19,180,19,10,140,175
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,11,84,44,379,34,17,310,333
28TH US CONGRESSIONAL,N,137644,POLLING PLACE,11398,439,499,197,3918,445,200,2182,2075
28TH US CONGRESSIONAL,N,0,VBM PORTION,10395,276,549,222,3186,404,175,1776,1951
28TH US CONGRESSIONAL,N,137644,TOTAL,21790,715,1048,419,7104,849,375,3958,4026
29TH US CONGRESSIONAL,N,267246,POLLING PLACE,17751,1784,1393,570,4443,616,254,2445,4226
29TH US CONGRESSIONAL,N,0,VBM PORTION,16163,979,1495,363,4129,584,240,1863,3855
29TH US CONGRESSIONAL,N,267246,TOTAL,33904,2763,2888,933,8572,1200,494,4308,8081
30TH US CONGRESSIONAL,N,304673,POLLING PLACE,27431,734,1296,1042,8527,739,512,4140,6934
30TH US CONGRESSIONAL,N,0,VBM PORTION,28857,475,1763,912,8615,760,379,3562,7225
30TH US CONGRESSIONAL,N,304673,TOTAL,56285,1209,3059,1954,17142,1499,891,7702,14159
33RD US CONGRESSIONAL,N,255428,POLLING PLACE,32242,563,1306,833,10831,906,330,4163,8585
33RD US CONGRESSIONAL,N,0,VBM PORTION,29484,334,1309,754,8911,639,225,3729,8029
33RD US CONGRESSIONAL,N,255428,TOTAL,61719,897,2615,1587,19742,1545,555,7892,16614
34TH US CONGRESSIONAL,N,5771,POLLING PLACE,662,23,28,13,222,18,9,134,124
34TH US CONGRESSIONAL,N,0,VBM PORTION,523,11,33,13,129,26,7,73,109
34TH US CONGRESSIONAL,N,5771,TOTAL,1183,34,61,26,351,44,16,207,233
37TH US CONGRESSIONAL,N,43521,POLLING PLACE,3912,84,110,86,1393,113,51,604,939
37TH US CONGRESSIONAL,N,0,VBM PORTION,4542,64,214,76,1393,120,49,551,1102
37TH US CONGRESSIONAL,N,43521,TOTAL,8452,148,324,162,2786,233,100,1155,2041
