LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,18506,11856,20212
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,16690,9815,12970
1ST SUPERVISORIAL,N,795106,TOTAL,103746,35196,21671,33182
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,30807,17528,15566
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,23783,12962,11630
2ND SUPERVISORIAL,N,902623,TOTAL,131237,54590,30490,27196
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,31746,27191,19767
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,31283,25187,16171
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,63029,52378,35938
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,34656,28744,25977
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,34567,27589,21548
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,69223,56333,47525
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,30326,30231,20523
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,32304,31448,19963
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,62630,61679,40486
