LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,32083,13343
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,26424,9474
1ST SUPERVISORIAL,N,795106,TOTAL,103746,58507,22817
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,38186,17263
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,31018,11987
2ND SUPERVISORIAL,N,902623,TOTAL,131237,69204,29250
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,50431,18369
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,48422,15951
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,98853,34320
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,58659,20950
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,57615,17746
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,116274,38696
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,56651,15945
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,59910,15554
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,116561,31499
