LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS J FRISCO
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,36948
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,29947
1ST SUPERVISORIAL,N,795106,TOTAL,103746,66895
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,43881
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,34722
2ND SUPERVISORIAL,N,902623,TOTAL,131237,78603
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,54161
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,50267
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,104428
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,64636
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,61341
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,125977
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,58321
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,60317
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,118638
