LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,26294,17542
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,19324,15759
1ST SUPERVISORIAL,N,795106,TOTAL,103746,45618,33301
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,24968,31254
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,19860,23211
2ND SUPERVISORIAL,N,902623,TOTAL,131237,44828,54465
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,33130,34443
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,29958,33210
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,63088,67653
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,45419,32465
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,39031,35215
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,84450,67680
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,40230,30698
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,37453,36653
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,77683,67351
