LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,1622,4704,5571,676,1933,4119,8158,3442,9076,2093,2908,3261
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,1648,4489,4200,504,1577,1817,6380,2237,5809,2016,3218,3125
1ST SUPERVISORIAL,N,795106,TOTAL,103746,3270,9193,9771,1180,3510,5936,14538,5679,14885,4109,6126,6386
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,1754,4956,7263,985,1988,2578,11774,13555,4756,3983,3300,3134
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,1793,4264,5681,787,1757,1377,7935,6514,3394,3809,4052,3411
2ND SUPERVISORIAL,N,902623,TOTAL,131237,3547,9220,12944,1772,3745,3955,19709,20069,8150,7792,7352,6545
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,2063,7107,16067,1004,2806,2500,17627,4952,4695,3247,4926,5105
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,2008,7257,13291,777,2623,1564,15190,4239,3893,3681,5703,5983
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,4071,14364,29358,1781,5429,4064,32817,9191,8588,6928,10629,11088
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,3018,10439,13439,1271,4132,3369,11730,5844,7664,4425,6702,9524
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,3161,10165,11468,969,3546,1836,11367,4881,5761,5006,8439,9978
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,6179,20604,24907,2240,7678,5205,23097,10725,13425,9431,15141,19502
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,2627,8829,15363,1474,3672,2225,13026,6652,5558,3427,4167,7816
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,3023,9850,13315,1339,3909,1623,13289,6058,5349,4237,5785,9012
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,5650,18679,28678,2813,7581,3848,26315,12710,10907,7664,9952,16828
