LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LUIS J RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G BROWN,JANEL H BUYCKS,ANDREW BLOUNT,RAKESH K CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,"""BO"" B AMBROZEWICZ",AKINYEMI AGBEDE,RICHARD W AGUIRRE,ROBERT NEWMAN,CINDY L SHEEHAN,JOE LEICHT
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,175,99,5000,51,172,158,400,4546,3559,77,272,91,162,126,38
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,132,132,5624,63,270,146,454,4921,3657,68,268,82,241,188,49
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,307,231,10624,114,442,304,854,9467,7216,145,540,173,403,314,87
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,131,107,6346,19,138,32,189,5744,3752,58,156,58,94,107,31
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,114,118,7976,45,254,36,291,6101,4191,79,133,61,164,138,41
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,245,225,14322,64,392,68,480,11845,7943,137,289,119,258,245,72
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,562,105,7549,40,86,14,114,2170,1884,83,316,145,136,204,24
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,272,109,6826,59,123,19,153,1972,1700,55,189,85,111,181,21
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,834,214,14375,99,209,33,267,4142,3584,138,505,230,247,385,45
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,309,100,12993,45,155,39,175,4696,3143,46,333,217,129,238,40
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,271,153,13281,44,279,35,225,4929,2927,68,228,203,130,194,45
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,580,253,26274,89,434,74,400,9625,6070,114,561,420,259,432,85
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,442,206,12999,35,247,52,241,4026,2544,63,121,96,236,378,57
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,297,270,13276,53,398,51,352,4183,2643,73,148,107,272,334,62
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,739,476,26275,88,645,103,593,8209,5187,136,269,203,508,712,119
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,3,5,308,0,12,1,7,290,80,2,0,0,4,5,2
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,2,4,309,1,13,1,21,251,116,1,0,4,5,10,6
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,5,9,617,1,25,2,28,541,196,3,0,4,9,15,8
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,355,221,11815,35,238,58,203,5402,2464,51,132,64,111,280,94
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,188,292,13944,45,424,35,337,5430,2463,67,122,75,145,240,87
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,543,513,25759,80,662,93,540,10832,4927,118,254,139,256,520,181
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,522,214,11817,37,156,20,122,2723,1434,52,131,58,112,248,40
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,301,244,11171,48,244,33,182,2504,1381,66,100,51,109,199,45
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,823,458,22988,85,400,53,304,5227,2815,118,231,109,221,447,85
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,243,75,7964,93,333,58,170,3352,2411,55,156,77,119,106,38
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,138,80,7273,82,415,43,214,3001,2011,38,150,60,111,92,18
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,381,155,15237,175,748,101,384,6353,4422,93,306,137,230,198,56
