LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,801,4857,7445
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,812,5602,8235
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,1613,10459,15680
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,592,6142,7670
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,672,7688,8771
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,1264,13830,16441
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,1034,6795,3248
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,771,6348,3182
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,1805,13143,6430
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,773,11010,6641
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,707,10872,7168
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,1480,21882,13809
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,1168,10592,5581
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,1197,10798,6464
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,2365,21390,12045
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,18,250,275
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,18,248,313
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,36,498,588
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,980,9571,6025
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,870,11654,7000
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,1850,21225,13025
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,1043,10037,3362
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,931,9608,3550
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,1974,19645,6912
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,922,6163,5075
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,687,6002,4737
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,1609,12165,9812
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,890,6717,4373
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,831,7467,5067
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,1721,14184,9440
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,1834,20890,5889
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,1234,18492,6916
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,3068,39382,12805
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,1432,9293,1622
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,829,6730,1564
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,2261,16023,3186
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,247,1884,729
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,198,1811,862
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,445,3695,1591
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,759,6347,1068
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,583,5277,1167
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,1342,11624,2235
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,1336,14312,2759
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,934,13660,3153
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,2270,27972,5912
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,292,2432,2255
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,305,3262,2875
