LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARK S REED,PABLO KLEINMAN,MICHAEL W POWELSON,BRAD SHERMAN,MARC LITCHMAN
38TH STATE ASSEMBLY,N,42956,POLLING PLACE,4460,1238,497,125,2128,169
38TH STATE ASSEMBLY,N,0,VBM PORTION,4198,996,628,117,1978,160
38TH STATE ASSEMBLY,N,42956,TOTAL,8653,2234,1125,242,4106,329
39TH STATE ASSEMBLY,N,4263,POLLING PLACE,463,113,70,13,216,15
39TH STATE ASSEMBLY,N,0,VBM PORTION,475,125,102,9,197,14
39TH STATE ASSEMBLY,N,4263,TOTAL,937,238,172,22,413,29
43RD STATE ASSEMBLY,N,15140,POLLING PLACE,1311,282,111,59,711,71
43RD STATE ASSEMBLY,N,0,VBM PORTION,1290,286,162,47,652,61
43RD STATE ASSEMBLY,N,15140,TOTAL,2600,568,273,106,1363,132
45TH STATE ASSEMBLY,N,234785,POLLING PLACE,20662,4205,2504,621,11078,933
45TH STATE ASSEMBLY,N,0,VBM PORTION,22800,4129,3012,634,12515,1134
45TH STATE ASSEMBLY,N,234785,TOTAL,43457,8334,5516,1255,23593,2067
46TH STATE ASSEMBLY,N,101276,POLLING PLACE,9972,1451,772,388,5829,891
46TH STATE ASSEMBLY,N,0,VBM PORTION,9258,1212,901,337,5389,791
46TH STATE ASSEMBLY,N,101276,TOTAL,19230,2663,1673,725,11218,1682
