LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
41ST STATE ASSEMBLY,N,60104,POLLING PLACE,6076,3022,2527
41ST STATE ASSEMBLY,N,0,VBM PORTION,5641,2516,2682
41ST STATE ASSEMBLY,N,60104,TOTAL,11714,5538,5209
48TH STATE ASSEMBLY,N,190604,POLLING PLACE,13375,4479,7448
48TH STATE ASSEMBLY,N,0,VBM PORTION,11644,3878,6845
48TH STATE ASSEMBLY,N,190604,TOTAL,25014,8357,14293
49TH STATE ASSEMBLY,N,25877,POLLING PLACE,1709,454,1041
49TH STATE ASSEMBLY,N,0,VBM PORTION,1541,434,944
49TH STATE ASSEMBLY,N,25877,TOTAL,3245,888,1985
55TH STATE ASSEMBLY,N,15420,POLLING PLACE,1027,411,503
55TH STATE ASSEMBLY,N,0,VBM PORTION,1298,482,676
55TH STATE ASSEMBLY,N,15420,TOTAL,2323,893,1179
57TH STATE ASSEMBLY,N,29006,POLLING PLACE,1749,420,1053
57TH STATE ASSEMBLY,N,0,VBM PORTION,1386,363,920
57TH STATE ASSEMBLY,N,29006,TOTAL,3133,783,1973
