LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BENJAMIN CAMPOS,LINDA T SANCHEZ
49TH STATE ASSEMBLY,N,5018,POLLING PLACE,383,93,235
49TH STATE ASSEMBLY,N,0,VBM PORTION,449,133,267
49TH STATE ASSEMBLY,N,5018,TOTAL,832,226,502
57TH STATE ASSEMBLY,N,168989,POLLING PLACE,13085,5120,6471
57TH STATE ASSEMBLY,N,0,VBM PORTION,11689,4952,5799
57TH STATE ASSEMBLY,N,168989,TOTAL,24767,10072,12270
58TH STATE ASSEMBLY,N,133344,POLLING PLACE,9357,2741,5202
58TH STATE ASSEMBLY,N,0,VBM PORTION,8962,2913,5121
58TH STATE ASSEMBLY,N,133344,TOTAL,18313,5654,10323
63RD STATE ASSEMBLY,N,41152,POLLING PLACE,3501,1511,1601
63RD STATE ASSEMBLY,N,0,VBM PORTION,3301,1450,1639
63RD STATE ASSEMBLY,N,41152,TOTAL,6799,2961,3240
