LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JANICE HAHN
59TH STATE ASSEMBLY,N,12557,POLLING PLACE,696,510
59TH STATE ASSEMBLY,N,0,VBM PORTION,288,236
59TH STATE ASSEMBLY,N,12557,TOTAL,983,746
63RD STATE ASSEMBLY,N,84206,POLLING PLACE,4336,3276
63RD STATE ASSEMBLY,N,0,VBM PORTION,3175,2626
63RD STATE ASSEMBLY,N,84206,TOTAL,7510,5902
64TH STATE ASSEMBLY,N,176910,POLLING PLACE,13050,7387
64TH STATE ASSEMBLY,N,0,VBM PORTION,8966,6696
64TH STATE ASSEMBLY,N,176910,TOTAL,22015,14083
70TH STATE ASSEMBLY,N,36376,POLLING PLACE,3212,2321
70TH STATE ASSEMBLY,N,0,VBM PORTION,3629,2589
70TH STATE ASSEMBLY,N,36376,TOTAL,6838,4910
