LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
38TH STATE ASSEMBLY,N,23671,POLLING PLACE,2253,876,1087,153
38TH STATE ASSEMBLY,N,0,VBM PORTION,2022,712,967,121
38TH STATE ASSEMBLY,N,23671,TOTAL,4272,1588,2054,274
39TH STATE ASSEMBLY,N,164511,POLLING PLACE,10768,3210,5894,832
39TH STATE ASSEMBLY,N,0,VBM PORTION,9286,2479,5331,694
39TH STATE ASSEMBLY,N,164511,TOTAL,20047,5689,11225,1526
43RD STATE ASSEMBLY,N,9269,POLLING PLACE,718,237,376,52
43RD STATE ASSEMBLY,N,0,VBM PORTION,770,258,378,57
43RD STATE ASSEMBLY,N,9269,TOTAL,1487,495,754,109
45TH STATE ASSEMBLY,N,19653,POLLING PLACE,1799,686,874,103
45TH STATE ASSEMBLY,N,0,VBM PORTION,1776,588,902,123
45TH STATE ASSEMBLY,N,19653,TOTAL,3575,1274,1776,226
46TH STATE ASSEMBLY,N,195429,POLLING PLACE,16197,3763,10004,1256
46TH STATE ASSEMBLY,N,0,VBM PORTION,15479,3480,9525,1001
46TH STATE ASSEMBLY,N,195429,TOTAL,31672,7243,19529,2257
