LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARIO A GUERRA,SALLY M HAVICE,TONY MENDOZA,CARLOS R ARVIZU,IRELLA PEREZ
49TH STATE ASSEMBLY,N,3647,POLLING PLACE,341,81,33,132,6,41
49TH STATE ASSEMBLY,N,0,VBM PORTION,375,112,26,117,14,50
49TH STATE ASSEMBLY,N,3647,TOTAL,716,193,59,249,20,91
57TH STATE ASSEMBLY,N,194922,POLLING PLACE,15407,6503,1272,4817,273,1528
57TH STATE ASSEMBLY,N,0,VBM PORTION,14641,6462,1205,3650,212,1529
57TH STATE ASSEMBLY,N,194922,TOTAL,30040,12965,2477,8467,485,3057
58TH STATE ASSEMBLY,N,210499,POLLING PLACE,16619,6265,2008,5384,371,1480
58TH STATE ASSEMBLY,N,0,VBM PORTION,13557,4917,1690,3892,259,1347
58TH STATE ASSEMBLY,N,210499,TOTAL,30168,11182,3698,9276,630,2827
63RD STATE ASSEMBLY,N,34461,POLLING PLACE,2980,1331,365,838,36,202
63RD STATE ASSEMBLY,N,0,VBM PORTION,2871,1282,356,640,38,263
63RD STATE ASSEMBLY,N,34461,TOTAL,5848,2613,721,1478,74,465
