LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,4318,4822,4441
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,4562,5539,4209
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,8880,10361,8650
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,5234,6000,3852
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,6143,6819,4056
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,11377,12819,7908
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,4123,3263,4836
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,3866,3195,3561
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,7989,6458,8397
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,8436,7862,4123
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,8259,7274,3937
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,16695,15136,8060
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,7841,6618,4506
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,8276,6519,4239
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,16117,13137,8745
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,194,307,96
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,188,308,109
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,382,615,205
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,7583,6910,4534
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,8675,7234,4493
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,16258,14144,9027
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,6915,4938,3957
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,6565,4553,3200
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,13480,9491,7157
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,4936,4190,4772
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,4743,3841,3603
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,9679,8031,8375
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,5586,4160,3564
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,6136,4413,3259
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,11722,8573,6823
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,11532,10962,5866
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,10666,9485,4674
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,22198,20447,10540
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,5211,3277,5886
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,4002,2202,3396
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,9213,5479,9282
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1193,742,1237
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1314,788,896
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,2507,1530,2133
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,3341,2204,4014
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,3100,1767,2311
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,6441,3971,6325
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,10978,7253,4545
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,9937,5774,4049
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,20915,13027,8594
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,2291,1648,1441
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,3072,2027,1505
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,5363,3675,2946
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,5940,4321,5487
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,5710,4258,4118
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,11650,8579,9605
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,6038,3777,5211
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,5108,3046,3552
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,11146,6823,8763
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,3865,1952,2693
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,2434,1143,1434
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,6299,3095,4127
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,9566,6395,4793
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,6848,4710,3403
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,16414,11105,8196
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,3522,2769,4330
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,3087,2104,2959
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,6609,4873,7289
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,6956,2968,3745
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,4642,2198,2544
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,11598,5166,6289
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,9703,11201,7189
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,10504,10620,6700
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,20207,21821,13889
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,10739,7011,6927
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,10785,7182,6074
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,21524,14193,13001
