LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOAN M CHROSTEK,EMMA CASTRO
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,8118,4178
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,9143,4075
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,17261,8253
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,8377,4911
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,10012,5193
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,18389,10104
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,5306,5692
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,5118,4501
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,10424,10193
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,8819,9110
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,8952,8453
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,17771,17563
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,7825,8507
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,8659,7718
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,16484,16225
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,297,226
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,322,207
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,619,433
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,8913,7543
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,10070,7768
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,18983,15311
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,5996,7743
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,5834,6688
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,11830,14431
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,6923,5461
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,6491,4491
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,13414,9952
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,5819,5923
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,6511,5705
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,12330,11628
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,9073,15372
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,9232,12556
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,18305,27928
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,3835,8882
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,3168,5489
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,7003,14371
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1369,1510
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1456,1262
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,2825,2772
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,2964,5412
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,2661,3833
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,5625,9245
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,9036,10486
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,7722,9347
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,16758,19833
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,2661,2078
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,3340,2464
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,6001,4542
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,7600,6453
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,7162,5303
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,14762,11756
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,6519,6803
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,5426,4900
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,11945,11703
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,4227,3327
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,2224,2198
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,6451,5525
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,9455,8748
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,6890,6519
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,16345,15267
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,4935,4602
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,4090,3354
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,9025,7956
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,7093,5081
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,4310,4149
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,11403,9230
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,14165,10490
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,15133,9988
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,29298,20478
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,10453,10551
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,11276,9676
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,21729,20227
