LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,1920,10356
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,1778,11482
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,3698,21838
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,1838,11309
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,1768,13383
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,3606,24692
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,2066,8678
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,1550,8009
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,3616,16687
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,3180,14388
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,2563,14335
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,5743,28723
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,3069,13062
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,2600,13623
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,5669,26685
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,70,458
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,87,429
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,157,887
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,2884,13415
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,2906,14911
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,5790,28326
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,2763,10688
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,2178,10145
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,4941,20833
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,2017,10282
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,1667,9350
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,3684,19632
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,2132,9423
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,1858,10210
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,3990,19633
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,5779,17907
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,4407,16742
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,10186,34649
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,2870,9340
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,1615,6816
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,4485,16156
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,569,2233
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,466,2241
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,1035,4474
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,2085,6139
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,1426,5015
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,3511,11154
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,4262,14069
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,3377,13061
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,7639,27130
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,759,3975
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,826,5005
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,1585,8980
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,2360,11603
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,1852,10610
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,4212,22213
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,2489,10696
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,1572,8756
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,4061,19452
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,1455,5582
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,796,3497
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,2251,9079
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,3439,13907
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,2207,10697
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,5646,24604
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,1849,7560
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,1209,6173
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,3058,13733
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,2209,9172
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,1435,6743
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,3644,15915
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,3885,20642
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,3494,21311
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,7379,41953
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,4027,16669
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,3255,17453
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,7282,34122
