LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,3258,9613
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,3742,9987
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,7000,19600
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,3648,10266
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,4509,11398
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,8157,21664
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,4817,6651
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,4232,5731
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,9049,12382
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,7426,11283
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,7448,10111
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,14874,21394
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,7466,9677
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,7627,9527
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,15093,19204
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,199,336
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,158,399
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,357,735
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,6794,10751
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,7437,11614
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,14231,22365
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,6127,8419
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,5353,7885
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,11480,16304
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,4352,8473
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,4092,7207
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,8444,15680
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,4886,7466
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,5593,7278
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,10479,14744
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,12817,13359
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,11435,11521
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,24252,24880
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,6165,6958
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,4032,5030
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,10197,11988
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1061,1921
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,991,1794
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,2052,3715
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,3588,5288
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,2798,4120
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,6386,9408
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,9013,11992
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,8645,9698
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,17658,21690
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,1471,3560
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,1953,4247
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,3424,7807
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,4888,9781
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,4742,8380
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,9630,18161
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,4455,9503
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,3706,7256
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,8161,16759
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,2452,5694
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,1594,3167
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,4046,8861
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,6402,13086
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,5193,8946
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,11595,22032
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,3654,6306
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,2782,4912
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,6436,11218
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,3189,9814
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,2946,5977
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,6135,15791
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,10204,16008
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,11088,15302
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,21292,31310
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,7008,15430
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,7026,15004
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,14034,30434
