LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANN H PARK
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,10503
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,11189
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,21692
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,11085
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,12600
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,23685
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,9099
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,8057
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,17156
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,13964
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,13379
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,27343
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,12977
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,13249
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,26226
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,415
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,400
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,815
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,13064
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,14337
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,27401
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,11108
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,10160
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,21268
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,10101
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,9083
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,19184
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,9496
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,10075
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,19571
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,18658
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,16425
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,35083
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,10195
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,7129
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,17324
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,2406
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,2318
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,4724
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,7230
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,6346
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,13576
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,14717
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,13323
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,28040
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,4012
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,5001
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,9013
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,11683
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,10611
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,22294
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,11107
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,8991
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,20098
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,6008
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3723
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,9731
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,14133
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,10642
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,24775
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,7895
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,6438
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,14333
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,9640
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,7051
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,16691
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,19415
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,20216
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,39631
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,17496
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,17374
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,34870
