LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,3831,4460,4046
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,4783,4814,3430
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,8614,9274,7476
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,3506,4560,5208
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,4817,5618,4720
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,8323,10178,9928
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,4094,2975,3830
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,3795,2968,2799
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,7889,5943,6629
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,5101,5479,7167
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,5974,5861,5376
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,11075,11340,12543
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,4740,4920,6566
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,5690,5349,5288
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,10430,10269,11854
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,149,121,245
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,174,129,211
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,323,250,456
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,4075,4767,7791
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,4755,5603,7656
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,8830,10370,15447
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,3752,3840,6186
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,3751,3945,4859
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,7503,7785,11045
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,4831,3615,3854
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,4665,3561,2701
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,9496,7176,6555
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,4208,3679,3733
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,4749,4323,3033
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,8957,8002,6766
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,5242,6264,12657
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,5262,5974,10375
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,10504,12238,23032
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,4976,2589,4732
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,3646,2113,2757
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,8622,4702,7489
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,986,899,955
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1003,932,764
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,1989,1831,1719
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,3229,1955,3133
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,2463,1952,2062
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,5692,3907,5195
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,6739,3627,9173
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,5679,4101,7303
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,12418,7728,16476
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,1500,1568,1671
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,2122,2084,1634
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,3622,3652,3305
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,5135,4326,4666
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,5023,4240,3314
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,10158,8566,7980
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,5307,3444,4599
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,4202,3118,3028
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,9509,6562,7627
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,3420,2024,2194
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,1759,1349,1341
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,5179,3373,3535
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,7002,4270,6962
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,4869,3696,4762
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,11871,7966,11724
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,3748,2500,3184
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,3004,2380,2021
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,6752,4880,5205
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,5975,2661,3491
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,3720,2460,2224
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,9695,5121,5715
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,6083,8344,10158
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,7732,8837,8400
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,13815,17181,18558
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,6575,5745,8705
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,7250,6454,7197
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,13825,12199,15902
