LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD S ROGERS,BOB OLMSTED,JIM MCDONNELL,LOU VINCE,PAUL TANAKA,JAMES HELLMOLD,PATRICK L GOMEZ
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,1247,1830,5897,819,2289,922,962
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,1256,1859,5821,991,2320,1209,772
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,2503,3689,11718,1810,4609,2131,1734
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,799,2128,7975,690,2613,872,472
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,885,2411,7933,1035,2915,1360,443
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,1684,4539,15908,1725,5528,2232,915
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,552,1246,5448,817,1712,1092,1524
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,500,1104,4454,847,1513,1082,1004
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,1052,2350,9902,1664,3225,2174,2528
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,739,2555,11151,942,2969,1338,797
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,759,2164,9743,1274,3139,1712,702
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,1498,4719,20894,2216,6108,3050,1499
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,866,2215,9859,999,2762,1634,953
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,1055,1944,8686,1284,3052,2114,746
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,1921,4159,18545,2283,5814,3748,1699
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,13,77,375,21,76,57,11
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,17,65,316,24,70,89,12
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,30,142,691,45,146,146,23
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,984,1999,10502,743,2396,1681,1058
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,1124,2020,10358,1122,2562,2156,787
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,2108,4019,20860,1865,4958,3837,1845
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,1143,1805,7983,859,1804,1374,878
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,1264,1502,6622,922,1798,1255,557
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,2407,3307,14605,1781,3602,2629,1435
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,802,2096,5822,615,2009,1134,1607
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,736,1700,4753,703,1883,1106,1088
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,1538,3796,10575,1318,3892,2240,2695
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,509,1452,6601,656,2527,875,1108
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,525,1422,6148,933,2967,1079,774
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,1034,2874,12749,1589,5494,1954,1882
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,1018,2564,16180,2533,3571,1672,838
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,959,2055,14138,2104,2946,1686,504
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,1977,4619,30318,4637,6517,3358,1342
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,686,1181,5436,839,2064,1172,2764
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,468,796,3807,668,1392,979,1324
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,1154,1977,9243,1507,3456,2151,4088
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,207,366,1088,149,439,380,525
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,170,287,1091,204,366,431,304
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,377,653,2179,353,805,811,829
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,692,811,3350,541,1013,770,2195
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,636,589,2530,504,1060,710,1026
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,1328,1400,5880,1045,2073,1480,3221
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,2018,2088,11311,990,2904,1427,947
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,1750,1629,9328,1036,2561,1659,695
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,3768,3717,20639,2026,5465,3086,1642
