LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
50TH STATE ASSEMBLY,N,35456,POLLING PLACE,3416,1089,112,178,218,102,573,304
50TH STATE ASSEMBLY,N,0,VBM PORTION,3278,951,112,152,188,100,448,281
50TH STATE ASSEMBLY,N,35456,TOTAL,6694,2040,224,330,406,202,1021,585
53RD STATE ASSEMBLY,N,8036,POLLING PLACE,701,229,17,53,47,25,145,63
53RD STATE ASSEMBLY,N,0,VBM PORTION,540,148,14,35,33,24,99,47
53RD STATE ASSEMBLY,N,8036,TOTAL,1241,377,31,88,80,49,244,110
54TH STATE ASSEMBLY,N,167924,POLLING PLACE,15792,6302,408,573,975,398,3525,1415
54TH STATE ASSEMBLY,N,0,VBM PORTION,13830,4573,493,671,767,527,2771,1021
54TH STATE ASSEMBLY,N,167924,TOTAL,29617,10875,901,1244,1742,925,6296,2436
59TH STATE ASSEMBLY,N,77522,POLLING PLACE,5387,2158,187,223,327,196,1171,396
59TH STATE ASSEMBLY,N,0,VBM PORTION,3381,1073,129,168,190,189,801,244
59TH STATE ASSEMBLY,N,77522,TOTAL,8765,3231,316,391,517,385,1972,640
62ND STATE ASSEMBLY,N,36386,POLLING PLACE,3714,1701,136,100,122,380,679,236
62ND STATE ASSEMBLY,N,0,VBM PORTION,2314,839,99,98,109,265,423,110
62ND STATE ASSEMBLY,N,36386,TOTAL,6023,2540,235,198,231,645,1102,346
64TH STATE ASSEMBLY,N,13662,POLLING PLACE,1070,496,38,44,58,59,141,85
64TH STATE ASSEMBLY,N,0,VBM PORTION,677,244,40,35,38,53,108,48
64TH STATE ASSEMBLY,N,13662,TOTAL,1747,740,78,79,96,112,249,133
