LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,8506,5483
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,8446,5906
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,16952,11389
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,9679,5971
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,10411,6775
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,20090,12746
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,8109,4201
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,6704,3796
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,14813,7997
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,14370,6599
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,12895,7354
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,27265,13953
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,13497,5874
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,12437,6242
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,25934,12116
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,445,189
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,373,249
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,818,438
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,13052,6404
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,13214,6794
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,26266,13198
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,11717,4388
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,9866,4469
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,21583,8857
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,8716,5160
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,7230,4617
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,15946,9777
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,8646,4846
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,8684,5046
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,17330,9892
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,22860,7156
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,18980,7088
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,41840,14244
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,10451,3651
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,6544,2878
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,16995,6529
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1995,1114
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1809,1075
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,3804,2189
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,6652,2608
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,4621,2408
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,11273,5016
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,17442,4920
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,14010,4958
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,31452,9878
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,3392,2136
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,3984,2670
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,7376,4806
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,10317,5352
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,8380,5178
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,18697,10530
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,9439,5336
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,6910,4371
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,16349,9707
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,6263,1779
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3316,1275
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,9579,3054
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,15798,4999
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,10247,4514
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,26045,9513
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,6728,3606
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,4980,3132
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,11708,6738
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,10092,3138
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,6197,2596
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,16289,5734
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,18994,10003
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,18117,11028
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,37111,21031
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,16949,8412
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,15468,9080
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,32417,17492
