LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LUIS J RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G BROWN,JANEL H BUYCKS,ANDREW BLOUNT,RAKESH K CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,"""BO"" B AMBROZEWICZ",AKINYEMI AGBEDE,RICHARD W AGUIRRE,ROBERT NEWMAN,CINDY L SHEEHAN,JOE LEICHT
18TH ST SENATE,N,412533,POLLING PLACE,31735,1071,304,19213,78,235,31,226,4994,3101,129,453,199,240,450,61
18TH ST SENATE,N,0,VBM PORTION,29333,555,350,17863,109,362,57,317,4614,2881,106,280,123,205,346,74
18TH ST SENATE,N,412533,TOTAL,61053,1626,654,37076,187,597,88,543,9608,5982,235,733,322,445,796,135
20TH ST SENATE,N,57852,POLLING PLACE,3541,127,25,1939,10,21,4,88,455,469,14,119,35,48,45,9
20TH ST SENATE,N,0,VBM PORTION,3425,63,21,1889,23,44,5,59,554,474,11,67,17,42,42,9
20TH ST SENATE,N,57852,TOTAL,6966,190,46,3828,33,65,9,147,1009,943,25,186,52,90,87,18
21ST ST SENATE,N,295641,POLLING PLACE,24416,239,161,7726,55,257,177,511,7679,5855,112,358,123,226,176,55
21ST ST SENATE,N,0,VBM PORTION,28120,197,206,9597,88,431,162,630,8373,6271,119,347,115,347,276,73
21ST ST SENATE,N,295641,TOTAL,52527,436,367,17323,143,688,339,1141,16052,12126,231,705,238,573,452,128
22ND ST SENATE,N,402143,POLLING PLACE,28682,579,204,15822,183,556,100,352,5014,3671,82,347,223,196,252,69
22ND ST SENATE,N,0,VBM PORTION,27543,304,243,15243,191,697,78,382,4837,3320,64,328,137,201,239,34
22ND ST SENATE,N,402143,TOTAL,56212,883,447,31065,374,1253,178,734,9851,6991,146,675,360,397,491,103
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
23RD ST SENATE,N,30,TOTAL,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
24TH ST SENATE,N,356351,POLLING PLACE,28761,1534,268,19709,78,143,149,232,1914,1456,105,679,240,232,527,89
24TH ST SENATE,N,0,VBM PORTION,21596,636,179,14844,78,225,79,197,1618,1478,77,370,128,183,330,40
24TH ST SENATE,N,356351,TOTAL,50349,2170,447,34553,156,368,228,429,3532,2934,182,1049,368,415,857,129
25TH ST SENATE,N,496236,POLLING PLACE,48828,615,302,25183,103,496,107,468,10600,7070,115,450,319,347,521,94
25TH ST SENATE,N,0,VBM PORTION,53257,524,422,26686,127,821,93,684,10868,6824,151,376,329,428,514,115
25TH ST SENATE,N,496236,TOTAL,102064,1139,724,51869,230,1317,200,1152,21468,13894,266,826,648,775,1035,209
26TH ST SENATE,N,595374,POLLING PLACE,71309,980,359,42726,139,790,231,660,13723,6628,176,436,194,373,1040,115
26TH ST SENATE,N,0,VBM PORTION,68061,620,462,39583,157,1221,156,878,13647,6619,166,282,209,366,771,126
26TH ST SENATE,N,595374,TOTAL,139348,1600,821,82309,296,2011,387,1538,27370,13247,342,718,403,739,1811,241
