LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
22ND ST SENATE,N,225229,POLLING PLACE,15191,4708,8755
22ND ST SENATE,N,0,VBM PORTION,12825,4000,7802
22ND ST SENATE,N,225229,TOTAL,28004,8708,16557
25TH ST SENATE,N,80361,POLLING PLACE,7718,3667,3314
25TH ST SENATE,N,0,VBM PORTION,7387,3191,3589
25TH ST SENATE,N,80361,TOTAL,15102,6858,6903
29TH ST SENATE,N,15421,POLLING PLACE,1027,411,503
29TH ST SENATE,N,0,VBM PORTION,1298,482,676
29TH ST SENATE,N,15421,TOTAL,2323,893,1179
32ND ST SENATE,N,0,POLLING PLACE,0,0,0
32ND ST SENATE,N,0,VBM PORTION,0,0,0
32ND ST SENATE,N,0,TOTAL,0,0,0
