LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN
24TH ST SENATE,N,1599,POLLING PLACE,86,64,13
24TH ST SENATE,N,0,VBM PORTION,84,43,16
24TH ST SENATE,N,1599,TOTAL,170,107,29
26TH ST SENATE,N,263597,POLLING PLACE,30284,19580,5866
26TH ST SENATE,N,0,VBM PORTION,27880,17384,6465
26TH ST SENATE,N,263597,TOTAL,58158,36964,12331
27TH ST SENATE,N,34577,POLLING PLACE,4588,2422,1323
27TH ST SENATE,N,0,VBM PORTION,4235,2095,1472
27TH ST SENATE,N,34577,TOTAL,8822,4517,2795
30TH ST SENATE,N,5888,POLLING PLACE,530,382,90
30TH ST SENATE,N,0,VBM PORTION,547,352,125
30TH ST SENATE,N,5888,TOTAL,1077,734,215
