LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE RUNNER,CHRIS PARKER
18TH ST SENATE,N,217186,POLLING PLACE,15629,4399,6059
18TH ST SENATE,N,0,VBM PORTION,14326,4642,5654
18TH ST SENATE,N,217186,TOTAL,29947,9041,11713
20TH ST SENATE,N,57852,POLLING PLACE,3541,920,1410
20TH ST SENATE,N,0,VBM PORTION,3425,1046,1411
20TH ST SENATE,N,57852,TOTAL,6966,1966,2821
21ST ST SENATE,N,295641,POLLING PLACE,24416,14078,6990
21ST ST SENATE,N,0,VBM PORTION,28120,16335,8338
21ST ST SENATE,N,295641,TOTAL,52527,30413,15328
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,2
23RD ST SENATE,N,30,TOTAL,5,2,2
25TH ST SENATE,N,1022,POLLING PLACE,74,25,27
25TH ST SENATE,N,0,VBM PORTION,182,82,47
25TH ST SENATE,N,1022,TOTAL,251,107,74
27TH ST SENATE,N,71387,POLLING PLACE,6129,2597,2053
27TH ST SENATE,N,0,VBM PORTION,6982,3271,2284
27TH ST SENATE,N,71387,TOTAL,13109,5868,4337
