LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
18TH ST SENATE,N,195347,POLLING PLACE,16106,7017
18TH ST SENATE,N,0,VBM PORTION,15007,7355
18TH ST SENATE,N,195347,TOTAL,31106,14372
22ND ST SENATE,N,402143,POLLING PLACE,28682,11839
22ND ST SENATE,N,0,VBM PORTION,27543,12474
22ND ST SENATE,N,402143,TOTAL,56212,24313
24TH ST SENATE,N,356351,POLLING PLACE,28761,14079
24TH ST SENATE,N,0,VBM PORTION,21596,11469
24TH ST SENATE,N,356351,TOTAL,50349,25548
25TH ST SENATE,N,495214,POLLING PLACE,48754,18809
25TH ST SENATE,N,0,VBM PORTION,53075,21359
25TH ST SENATE,N,495214,TOTAL,101813,40168
26TH ST SENATE,N,595374,POLLING PLACE,71309,34859
26TH ST SENATE,N,0,VBM PORTION,68061,33565
26TH ST SENATE,N,595374,TOTAL,139348,68424
27TH ST SENATE,N,275910,POLLING PLACE,26940,10933
27TH ST SENATE,N,0,VBM PORTION,29095,12667
27TH ST SENATE,N,275910,TOTAL,56027,23600
29TH ST SENATE,N,87063,POLLING PLACE,6296,2499
29TH ST SENATE,N,0,VBM PORTION,8041,3535
29TH ST SENATE,N,87063,TOTAL,14333,6034
30TH ST SENATE,N,452850,POLLING PLACE,38257,21006
30TH ST SENATE,N,0,VBM PORTION,31389,17782
30TH ST SENATE,N,452850,TOTAL,69626,38788
32ND ST SENATE,N,443529,POLLING PLACE,35347,14664
32ND ST SENATE,N,0,VBM PORTION,31444,14287
32ND ST SENATE,N,443529,TOTAL,66772,28951
33RD ST SENATE,N,389200,POLLING PLACE,29194,13759
33RD ST SENATE,N,0,VBM PORTION,24284,12539
33RD ST SENATE,N,389200,TOTAL,53466,26298
34TH ST SENATE,N,43970,POLLING PLACE,7336,2836
34TH ST SENATE,N,0,VBM PORTION,7698,3069
34TH ST SENATE,N,43970,TOTAL,15033,5905
35TH ST SENATE,N,443338,POLLING PLACE,36605,19605
35TH ST SENATE,N,0,VBM PORTION,30609,17016
35TH ST SENATE,N,443338,TOTAL,67191,36621
