LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
18TH ST SENATE,N,412533,POLLING PLACE,31735,11106,8141,8586
18TH ST SENATE,N,0,VBM PORTION,29333,10472,7708,6608
18TH ST SENATE,N,412533,TOTAL,61053,21578,15849,15194
20TH ST SENATE,N,57852,POLLING PLACE,3541,1193,742,1237
20TH ST SENATE,N,0,VBM PORTION,3425,1314,788,896
20TH ST SENATE,N,57852,TOTAL,6966,2507,1530,2133
21ST ST SENATE,N,295641,POLLING PLACE,24416,6768,7947,6627
21ST ST SENATE,N,0,VBM PORTION,28120,7903,9293,6638
21ST ST SENATE,N,295641,TOTAL,52527,14671,17240,13265
22ND ST SENATE,N,402143,POLLING PLACE,28682,9683,7081,8272
22ND ST SENATE,N,0,VBM PORTION,27543,9791,6795,6430
22ND ST SENATE,N,402143,TOTAL,56212,19474,13876,14702
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,1,2,2
23RD ST SENATE,N,30,TOTAL,5,1,2,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,9315,5961,9869
24TH ST SENATE,N,0,VBM PORTION,21596,7738,4360,5848
24TH ST SENATE,N,356351,TOTAL,50349,17053,10321,15717
25TH ST SENATE,N,496236,POLLING PLACE,48828,16613,15703,9178
25TH ST SENATE,N,0,VBM PORTION,53257,17119,15367,8930
25TH ST SENATE,N,496236,TOTAL,102064,33732,31070,18108
26TH ST SENATE,N,595374,POLLING PLACE,71309,22142,23059,13072
26TH ST SENATE,N,0,VBM PORTION,68061,21255,20439,10875
26TH ST SENATE,N,595374,TOTAL,139348,43397,43498,23947
27TH ST SENATE,N,347297,POLLING PLACE,33069,10910,10695,6501
27TH ST SENATE,N,0,VBM PORTION,36077,12076,11008,6377
27TH ST SENATE,N,347297,TOTAL,69136,22986,21703,12878
29TH ST SENATE,N,87063,POLLING PLACE,6296,2291,1648,1441
29TH ST SENATE,N,0,VBM PORTION,8041,3072,2027,1505
29TH ST SENATE,N,87063,TOTAL,14333,5363,3675,2946
30TH ST SENATE,N,452850,POLLING PLACE,38257,16331,9401,7232
30TH ST SENATE,N,0,VBM PORTION,31389,13113,6921,5694
30TH ST SENATE,N,452850,TOTAL,69626,29444,16322,12926
32ND ST SENATE,N,443529,POLLING PLACE,35347,12327,8390,10475
32ND ST SENATE,N,0,VBM PORTION,31444,11271,7672,7786
32ND ST SENATE,N,443529,TOTAL,66772,23598,16062,18261
33RD ST SENATE,N,389200,POLLING PLACE,29194,9633,6353,9431
33RD ST SENATE,N,0,VBM PORTION,24284,8635,5353,6598
33RD ST SENATE,N,389200,TOTAL,53466,18268,11706,16029
34TH ST SENATE,N,43970,POLLING PLACE,7336,2722,2037,1255
34TH ST SENATE,N,0,VBM PORTION,7698,2887,2281,1156
34TH ST SENATE,N,43970,TOTAL,15033,5609,4318,2411
35TH ST SENATE,N,443338,POLLING PLACE,36605,15007,8392,8869
35TH ST SENATE,N,0,VBM PORTION,30609,11977,6990,6941
35TH ST SENATE,N,443338,TOTAL,67191,26984,15382,15810
