LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
18TH ST SENATE,N,412533,POLLING PLACE,31735,10697,15142
18TH ST SENATE,N,0,VBM PORTION,29333,9377,13653
18TH ST SENATE,N,412533,TOTAL,61053,20074,28795
20TH ST SENATE,N,57852,POLLING PLACE,3541,1061,1921
20TH ST SENATE,N,0,VBM PORTION,3425,991,1794
20TH ST SENATE,N,57852,TOTAL,6966,2052,3715
21ST ST SENATE,N,295641,POLLING PLACE,24416,4896,15148
21ST ST SENATE,N,0,VBM PORTION,28120,6046,16630
21ST ST SENATE,N,295641,TOTAL,52527,10942,31778
22ND ST SENATE,N,402143,POLLING PLACE,28682,8696,14529
22ND ST SENATE,N,0,VBM PORTION,27543,8749,12765
22ND ST SENATE,N,402143,TOTAL,56212,17445,27294
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,1,3
23RD ST SENATE,N,30,TOTAL,5,1,3
24TH ST SENATE,N,356351,POLLING PLACE,28761,10576,12451
24TH ST SENATE,N,0,VBM PORTION,21596,7563,9501
24TH ST SENATE,N,356351,TOTAL,50349,18139,21952
25TH ST SENATE,N,496236,POLLING PLACE,48828,14861,22973
25TH ST SENATE,N,0,VBM PORTION,53257,15550,21716
25TH ST SENATE,N,496236,TOTAL,102064,30411,44689
26TH ST SENATE,N,595374,POLLING PLACE,71309,24140,29655
26TH ST SENATE,N,0,VBM PORTION,68061,22403,26615
26TH ST SENATE,N,595374,TOTAL,139348,46543,56270
27TH ST SENATE,N,347297,POLLING PLACE,33069,9712,16159
27TH ST SENATE,N,0,VBM PORTION,36077,10360,17107
27TH ST SENATE,N,347297,TOTAL,69136,20072,33266
29TH ST SENATE,N,87063,POLLING PLACE,6296,1471,3560
29TH ST SENATE,N,0,VBM PORTION,8041,1953,4247
29TH ST SENATE,N,87063,TOTAL,14333,3424,7807
30TH ST SENATE,N,452850,POLLING PLACE,38257,11090,19736
30TH ST SENATE,N,0,VBM PORTION,31389,10075,14030
30TH ST SENATE,N,452850,TOTAL,69626,21165,33766
32ND ST SENATE,N,443529,POLLING PLACE,35347,9292,19699
32ND ST SENATE,N,0,VBM PORTION,31444,8689,16252
32ND ST SENATE,N,443529,TOTAL,66772,17981,35951
33RD ST SENATE,N,389200,POLLING PLACE,29194,8157,15337
33RD ST SENATE,N,0,VBM PORTION,24284,6539,12664
33RD ST SENATE,N,389200,TOTAL,53466,14696,28001
34TH ST SENATE,N,43970,POLLING PLACE,7336,1578,3787
34TH ST SENATE,N,0,VBM PORTION,7698,1603,4011
34TH ST SENATE,N,43970,TOTAL,15033,3181,7798
35TH ST SENATE,N,443338,POLLING PLACE,36605,9113,21538
35TH ST SENATE,N,0,VBM PORTION,30609,9225,15508
35TH ST SENATE,N,443338,TOTAL,67191,18338,37046
