LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SHANNON L KNIGHT,DEBRA L LOSNICK
18TH ST SENATE,N,412533,POLLING PLACE,31735,14537,10589
18TH ST SENATE,N,0,VBM PORTION,29333,13108,9541
18TH ST SENATE,N,412533,TOTAL,61053,27645,20130
20TH ST SENATE,N,57852,POLLING PLACE,3541,1848,1024
20TH ST SENATE,N,0,VBM PORTION,3425,1708,1048
20TH ST SENATE,N,57852,TOTAL,6966,3556,2072
21ST ST SENATE,N,295641,POLLING PLACE,24416,14875,4910
21ST ST SENATE,N,0,VBM PORTION,28120,16107,6393
21ST ST SENATE,N,295641,TOTAL,52527,30982,11303
22ND ST SENATE,N,402143,POLLING PLACE,28682,14080,8373
22ND ST SENATE,N,0,VBM PORTION,27543,12123,8920
22ND ST SENATE,N,402143,TOTAL,56212,26203,17293
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,3,1
23RD ST SENATE,N,30,TOTAL,5,3,1
24TH ST SENATE,N,356351,POLLING PLACE,28761,11244,10856
24TH ST SENATE,N,0,VBM PORTION,21596,8555,7970
24TH ST SENATE,N,356351,TOTAL,50349,19799,18826
25TH ST SENATE,N,496236,POLLING PLACE,48828,21945,15052
25TH ST SENATE,N,0,VBM PORTION,53257,21143,15596
25TH ST SENATE,N,496236,TOTAL,102064,43088,30648
26TH ST SENATE,N,595374,POLLING PLACE,71309,27901,24420
26TH ST SENATE,N,0,VBM PORTION,68061,25670,22032
26TH ST SENATE,N,595374,TOTAL,139348,53571,46452
27TH ST SENATE,N,347297,POLLING PLACE,33069,15643,9644
27TH ST SENATE,N,0,VBM PORTION,36077,16411,10487
27TH ST SENATE,N,347297,TOTAL,69136,32054,20131
29TH ST SENATE,N,87063,POLLING PLACE,6296,3254,1596
29TH ST SENATE,N,0,VBM PORTION,8041,3787,2224
29TH ST SENATE,N,87063,TOTAL,14333,7041,3820
30TH ST SENATE,N,452850,POLLING PLACE,38257,19124,10566
30TH ST SENATE,N,0,VBM PORTION,31389,13706,9798
30TH ST SENATE,N,452850,TOTAL,69626,32830,20364
32ND ST SENATE,N,443529,POLLING PLACE,35347,19131,9124
32ND ST SENATE,N,0,VBM PORTION,31444,15657,8777
32ND ST SENATE,N,443529,TOTAL,66772,34788,17901
33RD ST SENATE,N,389200,POLLING PLACE,29194,14048,8724
33RD ST SENATE,N,0,VBM PORTION,24284,11551,7242
33RD ST SENATE,N,389200,TOTAL,53466,25599,15966
34TH ST SENATE,N,43970,POLLING PLACE,7336,3363,1895
34TH ST SENATE,N,0,VBM PORTION,7698,3512,2046
34TH ST SENATE,N,43970,TOTAL,15033,6875,3941
35TH ST SENATE,N,443338,POLLING PLACE,36605,20374,8870
35TH ST SENATE,N,0,VBM PORTION,30609,15328,8478
35TH ST SENATE,N,443338,TOTAL,67191,35702,17348
