LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
18TH ST SENATE,N,412533,POLLING PLACE,31735,11191,2974,11027
18TH ST SENATE,N,0,VBM PORTION,29333,10298,2866,9402
18TH ST SENATE,N,412533,TOTAL,61053,21489,5840,20429
20TH ST SENATE,N,57852,POLLING PLACE,3541,1534,370,1002
20TH ST SENATE,N,0,VBM PORTION,3425,1374,353,1024
20TH ST SENATE,N,57852,TOTAL,6966,2908,723,2026
21ST ST SENATE,N,295641,POLLING PLACE,24416,12264,2389,5006
21ST ST SENATE,N,0,VBM PORTION,28120,13341,2846,6207
21ST ST SENATE,N,295641,TOTAL,52527,25605,5235,11213
22ND ST SENATE,N,402143,POLLING PLACE,28682,11213,2936,8452
22ND ST SENATE,N,0,VBM PORTION,27543,10067,2708,8261
22ND ST SENATE,N,402143,TOTAL,56212,21280,5644,16713
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,3,0,1
23RD ST SENATE,N,30,TOTAL,5,3,0,1
24TH ST SENATE,N,356351,POLLING PLACE,28761,8552,2835,10962
24TH ST SENATE,N,0,VBM PORTION,21596,6372,2358,7848
24TH ST SENATE,N,356351,TOTAL,50349,14924,5193,18810
25TH ST SENATE,N,496236,POLLING PLACE,48828,18005,4003,15215
25TH ST SENATE,N,0,VBM PORTION,53257,17285,4243,15226
25TH ST SENATE,N,496236,TOTAL,102064,35290,8246,30441
26TH ST SENATE,N,595374,POLLING PLACE,71309,22032,5396,25197
26TH ST SENATE,N,0,VBM PORTION,68061,20270,5206,22474
26TH ST SENATE,N,595374,TOTAL,139348,42302,10602,47671
27TH ST SENATE,N,347297,POLLING PLACE,33069,12939,2748,9611
27TH ST SENATE,N,0,VBM PORTION,36077,13639,3005,10224
27TH ST SENATE,N,347297,TOTAL,69136,26578,5753,19835
29TH ST SENATE,N,87063,POLLING PLACE,6296,2541,717,1603
29TH ST SENATE,N,0,VBM PORTION,8041,2922,899,2181
29TH ST SENATE,N,87063,TOTAL,14333,5463,1616,3784
30TH ST SENATE,N,452850,POLLING PLACE,38257,11204,2973,15730
30TH ST SENATE,N,0,VBM PORTION,31389,8414,2657,12388
30TH ST SENATE,N,452850,TOTAL,69626,19618,5630,28118
32ND ST SENATE,N,443529,POLLING PLACE,35347,15481,3766,9203
32ND ST SENATE,N,0,VBM PORTION,31444,12606,3309,8567
32ND ST SENATE,N,443529,TOTAL,66772,28087,7075,17770
33RD ST SENATE,N,389200,POLLING PLACE,29194,10889,2946,9072
33RD ST SENATE,N,0,VBM PORTION,24284,8679,2420,7778
33RD ST SENATE,N,389200,TOTAL,53466,19568,5366,16850
34TH ST SENATE,N,43970,POLLING PLACE,7336,2830,528,1915
34TH ST SENATE,N,0,VBM PORTION,7698,2974,564,2055
34TH ST SENATE,N,43970,TOTAL,15033,5804,1092,3970
35TH ST SENATE,N,443338,POLLING PLACE,36605,13620,3646,12296
35TH ST SENATE,N,0,VBM PORTION,30609,10335,3378,10244
35TH ST SENATE,N,443338,TOTAL,67191,23955,7024,22540
