LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS J FRISCO
18TH ST SENATE,N,412533,POLLING PLACE,31735,19919
18TH ST SENATE,N,0,VBM PORTION,29333,18075
18TH ST SENATE,N,412533,TOTAL,61053,37994
20TH ST SENATE,N,57852,POLLING PLACE,3541,2408
20TH ST SENATE,N,0,VBM PORTION,3425,2299
20TH ST SENATE,N,57852,TOTAL,6966,4707
21ST ST SENATE,N,295641,POLLING PLACE,24416,16452
21ST ST SENATE,N,0,VBM PORTION,28120,18675
21ST ST SENATE,N,295641,TOTAL,52527,35127
22ND ST SENATE,N,402143,POLLING PLACE,28682,18209
22ND ST SENATE,N,0,VBM PORTION,27543,17014
22ND ST SENATE,N,402143,TOTAL,56212,35223
23RD ST SENATE,N,30,POLLING PLACE,0,0
23RD ST SENATE,N,0,VBM PORTION,6,3
23RD ST SENATE,N,30,TOTAL,5,3
24TH ST SENATE,N,356351,POLLING PLACE,28761,17778
24TH ST SENATE,N,0,VBM PORTION,21596,13501
24TH ST SENATE,N,356351,TOTAL,50349,31279
25TH ST SENATE,N,496236,POLLING PLACE,48828,28829
25TH ST SENATE,N,0,VBM PORTION,53257,28172
25TH ST SENATE,N,496236,TOTAL,102064,57001
26TH ST SENATE,N,595374,POLLING PLACE,71309,39498
26TH ST SENATE,N,0,VBM PORTION,68061,35728
26TH ST SENATE,N,595374,TOTAL,139348,75226
27TH ST SENATE,N,347297,POLLING PLACE,33069,19494
27TH ST SENATE,N,0,VBM PORTION,36077,20721
27TH ST SENATE,N,347297,TOTAL,69136,40215
29TH ST SENATE,N,87063,POLLING PLACE,6296,4009
29TH ST SENATE,N,0,VBM PORTION,8041,4927
29TH ST SENATE,N,87063,TOTAL,14333,8936
30TH ST SENATE,N,452850,POLLING PLACE,38257,21770
30TH ST SENATE,N,0,VBM PORTION,31389,17770
30TH ST SENATE,N,452850,TOTAL,69626,39540
32ND ST SENATE,N,443529,POLLING PLACE,35347,23316
32ND ST SENATE,N,0,VBM PORTION,31444,20205
32ND ST SENATE,N,443529,TOTAL,66772,43521
33RD ST SENATE,N,389200,POLLING PLACE,29194,18904
33RD ST SENATE,N,0,VBM PORTION,24284,15785
33RD ST SENATE,N,389200,TOTAL,53466,34689
34TH ST SENATE,N,43970,POLLING PLACE,7336,4219
34TH ST SENATE,N,0,VBM PORTION,7698,4408
34TH ST SENATE,N,43970,TOTAL,15033,8627
35TH ST SENATE,N,443338,POLLING PLACE,36605,23142
35TH ST SENATE,N,0,VBM PORTION,30609,19312
35TH ST SENATE,N,443338,TOTAL,67191,42454
