LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANN H PARK
18TH ST SENATE,N,412533,POLLING PLACE,31735,20039
18TH ST SENATE,N,0,VBM PORTION,29333,18175
18TH ST SENATE,N,412533,TOTAL,61053,38214
20TH ST SENATE,N,57852,POLLING PLACE,3541,2406
20TH ST SENATE,N,0,VBM PORTION,3425,2318
20TH ST SENATE,N,57852,TOTAL,6966,4724
21ST ST SENATE,N,295641,POLLING PLACE,24416,16324
21ST ST SENATE,N,0,VBM PORTION,28120,18312
21ST ST SENATE,N,295641,TOTAL,52527,34636
22ND ST SENATE,N,402143,POLLING PLACE,28682,18139
22ND ST SENATE,N,0,VBM PORTION,27543,17268
22ND ST SENATE,N,402143,TOTAL,56212,35407
23RD ST SENATE,N,30,POLLING PLACE,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2
23RD ST SENATE,N,30,TOTAL,5,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,18086
24TH ST SENATE,N,0,VBM PORTION,21596,14121
24TH ST SENATE,N,356351,TOTAL,50349,32207
25TH ST SENATE,N,496236,POLLING PLACE,48828,28655
25TH ST SENATE,N,0,VBM PORTION,53257,28617
25TH ST SENATE,N,496236,TOTAL,102064,57272
26TH ST SENATE,N,595374,POLLING PLACE,71309,38895
26TH ST SENATE,N,0,VBM PORTION,68061,35746
26TH ST SENATE,N,595374,TOTAL,139348,74641
27TH ST SENATE,N,347297,POLLING PLACE,33069,19322
27TH ST SENATE,N,0,VBM PORTION,36077,20663
27TH ST SENATE,N,347297,TOTAL,69136,39985
29TH ST SENATE,N,87063,POLLING PLACE,6296,4012
29TH ST SENATE,N,0,VBM PORTION,8041,5001
29TH ST SENATE,N,87063,TOTAL,14333,9013
30TH ST SENATE,N,452850,POLLING PLACE,38257,21823
30TH ST SENATE,N,0,VBM PORTION,31389,18032
30TH ST SENATE,N,452850,TOTAL,69626,39855
32ND ST SENATE,N,443529,POLLING PLACE,35347,23051
32ND ST SENATE,N,0,VBM PORTION,31444,20198
32ND ST SENATE,N,443529,TOTAL,66772,43249
33RD ST SENATE,N,389200,POLLING PLACE,29194,18615
33RD ST SENATE,N,0,VBM PORTION,24284,15671
33RD ST SENATE,N,389200,TOTAL,53466,34286
34TH ST SENATE,N,43970,POLLING PLACE,7336,4143
34TH ST SENATE,N,0,VBM PORTION,7698,4327
34TH ST SENATE,N,43970,TOTAL,15033,8470
35TH ST SENATE,N,443338,POLLING PLACE,36605,22897
35TH ST SENATE,N,0,VBM PORTION,30609,19673
35TH ST SENATE,N,443338,TOTAL,67191,42570
