LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
18TH ST SENATE,N,412533,POLLING PLACE,31735,823,3082,4787,391,961,1417,5403,2102,2558,1221,1393,1912
18TH ST SENATE,N,0,VBM PORTION,29333,782,2705,3664,336,902,815,4497,1876,1976,1376,1681,2133
18TH ST SENATE,N,412533,TOTAL,61053,1605,5787,8451,727,1863,2232,9900,3978,4534,2597,3074,4045
20TH ST SENATE,N,57852,POLLING PLACE,3541,121,445,323,47,139,206,342,244,476,198,181,292
20TH ST SENATE,N,0,VBM PORTION,3425,130,351,308,37,143,116,390,200,298,219,184,364
20TH ST SENATE,N,57852,TOTAL,6966,251,796,631,84,282,322,732,444,774,417,365,656
21ST ST SENATE,N,295641,POLLING PLACE,24416,858,2974,3296,344,842,788,3130,1457,1240,986,1026,3235
21ST ST SENATE,N,0,VBM PORTION,28120,1060,2955,3139,302,978,569,3497,1492,1344,1353,1504,3912
21ST ST SENATE,N,295641,TOTAL,52527,1918,5929,6435,646,1820,1357,6627,2949,2584,2339,2530,7147
22ND ST SENATE,N,402143,POLLING PLACE,28682,947,2820,2943,278,910,1255,3542,2072,4619,1195,1685,1699
22ND ST SENATE,N,0,VBM PORTION,27543,1007,3529,2347,216,738,669,3247,1720,3350,1188,2193,1630
22ND ST SENATE,N,402143,TOTAL,56212,1954,6349,5290,494,1648,1924,6789,3792,7969,2383,3878,3329
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,1,0,1,0,0,0,0,0,0,0,0,2
23RD ST SENATE,N,30,TOTAL,5,1,0,1,0,0,0,0,0,0,0,0,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,727,2281,3209,340,1009,2030,4872,1452,3364,878,1620,1549
24TH ST SENATE,N,0,VBM PORTION,21596,714,2033,2168,254,786,817,3244,822,2052,779,1843,1334
24TH ST SENATE,N,356351,TOTAL,50349,1441,4314,5377,594,1795,2847,8116,2274,5416,1657,3463,2883
25TH ST SENATE,N,496236,POLLING PLACE,48828,1101,2926,9124,935,2252,893,7366,3701,2620,1683,1985,2931
25TH ST SENATE,N,0,VBM PORTION,53257,1256,3598,7830,858,2329,655,7240,3121,2558,2016,2688,3333
25TH ST SENATE,N,496236,TOTAL,102064,2357,6524,16954,1793,4581,1548,14606,6822,5178,3699,4673,6264
26TH ST SENATE,N,595374,POLLING PLACE,71309,1650,5193,12666,628,1817,875,12196,3295,2302,2525,4856,4046
26TH ST SENATE,N,0,VBM PORTION,68061,1640,5145,10377,482,1627,628,10663,2574,1999,2711,5390,4526
26TH ST SENATE,N,595374,TOTAL,139348,3290,10338,23043,1110,3444,1503,22859,5869,4301,5236,10246,8572
27TH ST SENATE,N,347297,POLLING PLACE,33069,830,3482,5780,337,1067,792,5109,1895,1304,1082,1469,2542
27TH ST SENATE,N,0,VBM PORTION,36077,932,3619,4965,270,1126,617,5142,1944,1299,1449,2032,3190
27TH ST SENATE,N,347297,TOTAL,69136,1762,7101,10745,607,2193,1409,10251,3839,2603,2531,3501,5732
29TH ST SENATE,N,87063,POLLING PLACE,6296,178,802,864,171,352,149,575,377,585,257,337,443
29TH ST SENATE,N,0,VBM PORTION,8041,244,1363,849,196,366,118,750,312,460,350,687,579
29TH ST SENATE,N,87063,TOTAL,14333,422,2165,1713,367,718,267,1325,689,1045,607,1024,1022
30TH ST SENATE,N,452850,POLLING PLACE,38257,801,2530,4627,590,1082,1099,6009,7486,1771,1803,1452,1420
30TH ST SENATE,N,0,VBM PORTION,31389,733,2438,3795,489,984,565,4624,3457,1307,1884,1717,1529
30TH ST SENATE,N,452850,TOTAL,69626,1534,4968,8422,1079,2066,1664,10633,10943,3078,3687,3169,2949
32ND ST SENATE,N,443529,POLLING PLACE,35347,961,4103,3596,438,2045,2092,4139,2129,4178,1401,1617,2593
32ND ST SENATE,N,0,VBM PORTION,31444,987,3789,2735,304,1640,1025,3702,1594,2872,1467,2196,2392
32ND ST SENATE,N,443529,TOTAL,66772,1948,7892,6331,742,3685,3117,7841,3723,7050,2868,3813,4985
33RD ST SENATE,N,389200,POLLING PLACE,29194,754,2100,2614,402,858,1784,3316,1988,3484,1437,1814,2757
33RD ST SENATE,N,0,VBM PORTION,24284,629,1747,2370,271,732,797,2921,1210,2224,1413,1836,2786
33RD ST SENATE,N,389200,TOTAL,53466,1383,3847,4984,673,1590,2581,6237,3198,5708,2850,3650,5543
34TH ST SENATE,N,43970,POLLING PLACE,7336,167,573,1183,77,234,115,715,301,281,239,453,928
34TH ST SENATE,N,0,VBM PORTION,7698,172,603,1106,49,182,79,762,362,253,312,499,1061
34TH ST SENATE,N,43970,TOTAL,15033,339,1176,2289,126,416,194,1477,663,534,551,952,1989
35TH ST SENATE,N,443338,POLLING PLACE,36605,1166,2724,2691,432,963,1296,5601,5946,2967,2270,2115,2493
35TH ST SENATE,N,0,VBM PORTION,30609,1343,2153,2300,312,879,747,3482,3246,2214,2232,2746,2739
35TH ST SENATE,N,443338,TOTAL,67191,2509,4877,4991,744,1842,2043,9083,9192,5181,4502,4861,5232
