LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RUDY MELENDEZ,P CONLEY ULICH,YUVAL D KREMER,SHEILA KUEHL,DOUG FAY,ERIC PREVEN,JOHN DURAN,BOBBY SHRIVER
18TH ST SENATE,N,370068,POLLING PLACE,27824,1995,1762,862,7940,865,481,3986,6739
18TH ST SENATE,N,0,VBM PORTION,25692,1095,1997,598,7135,817,396,3106,6220
18TH ST SENATE,N,370068,TOTAL,53506,3090,3759,1460,15075,1682,877,7092,12959
24TH ST SENATE,N,43938,POLLING PLACE,3318,216,208,48,1060,142,62,537,571
24TH ST SENATE,N,0,VBM PORTION,2838,121,207,54,740,153,46,364,548
24TH ST SENATE,N,43938,TOTAL,6153,337,415,102,1800,295,108,901,1119
25TH ST SENATE,N,16245,POLLING PLACE,1810,39,75,28,613,57,22,324,389
25TH ST SENATE,N,0,VBM PORTION,1524,36,76,27,493,51,20,244,304
25TH ST SENATE,N,16245,TOTAL,3334,75,151,55,1106,108,42,568,693
26TH ST SENATE,N,318956,POLLING PLACE,35705,751,1162,839,12270,1067,419,5255,8972
26TH ST SENATE,N,0,VBM PORTION,32655,430,1249,767,10013,791,320,4580,8472
26TH ST SENATE,N,318956,TOTAL,68351,1181,2411,1606,22283,1858,739,9835,17444
27TH ST SENATE,N,257220,POLLING PLACE,24128,614,1428,964,7132,697,363,3525,6055
27TH ST SENATE,N,0,VBM PORTION,26166,449,1799,890,7542,699,286,3177,6433
27TH ST SENATE,N,257220,TOTAL,50290,1063,3227,1854,14674,1396,649,6702,12488
30TH ST SENATE,N,13911,POLLING PLACE,1338,14,33,25,518,24,16,211,315
30TH ST SENATE,N,0,VBM PORTION,1859,17,83,23,620,41,17,223,469
30TH ST SENATE,N,13911,TOTAL,3196,31,116,48,1138,65,33,434,784
