LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
24TH ST SENATE,N,6582,POLLING PLACE,598,207,16,37,37,22,124,50
24TH ST SENATE,N,0,VBM PORTION,464,133,12,32,25,16,81,40
24TH ST SENATE,N,6582,TOTAL,1062,340,28,69,62,38,205,90
26TH ST SENATE,N,29568,POLLING PLACE,2886,938,97,149,189,88,463,260
26TH ST SENATE,N,0,VBM PORTION,2731,824,97,121,165,88,347,234
26TH ST SENATE,N,29568,TOTAL,5617,1762,194,270,354,176,810,494
30TH ST SENATE,N,285450,POLLING PLACE,24474,9932,704,932,1471,715,5304,2054
30TH ST SENATE,N,0,VBM PORTION,19637,6482,716,966,1094,836,4020,1418
30TH ST SENATE,N,285450,TOTAL,44101,16414,1420,1898,2565,1551,9324,3472
35TH ST SENATE,N,17386,POLLING PLACE,2122,898,81,53,50,335,343,135
35TH ST SENATE,N,0,VBM PORTION,1188,389,62,40,41,218,202,59
35TH ST SENATE,N,17386,TOTAL,3307,1287,143,93,91,553,545,194
