LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,10,3,1,10,52,68
ACTON,0050003A,1,3,N,0,VBM PORTION,133,12,13,6,9,26,53
ACTON,0050003A,1,3,N,1086,TOTAL,288,22,16,7,19,78,121
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,4,4,1,7,32,54
ACTON,0050004A,2,3,N,0,VBM PORTION,132,9,8,2,7,38,52
ACTON,0050004A,2,3,N,820,TOTAL,242,13,12,3,14,70,106
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,14,5,3,7,26,59
ACTON,0050005A,3,3,N,0,VBM PORTION,83,4,3,1,8,17,41
ACTON,0050005A,3,3,N,748,TOTAL,205,18,8,4,15,43,100
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,4,1,2,8,20,19
ACTON,0050014A,4,3,N,0,VBM PORTION,57,5,1,3,3,11,29
ACTON,0050014A,4,3,N,488,TOTAL,114,9,2,5,11,31,48
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,0,0,0,2,6,10
ACTON,0050022A,6001,4,Y,61,TOTAL,22,0,0,0,2,6,10
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,0,0,1,0,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,0,0,1,0,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,1,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,1,0,0,0,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,9,2,3,18,37,69
ACTON,0050059A,5,3,N,0,VBM PORTION,122,10,5,0,6,26,64
ACTON,0050059A,5,3,N,1211,TOTAL,272,19,7,3,24,63,133
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,12,4,3,16,39,66
ACTON,0050061A,6,3,N,0,VBM PORTION,155,12,5,5,20,35,65
ACTON,0050061A,6,3,N,1159,TOTAL,308,24,9,8,36,74,131
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,2,0,0,0,2,3
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,2,0,0,0,2,3
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,8,0,0,3,4,6
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,8,0,0,3,4,6
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,22,14,7,35,19,43
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,21,6,2,17,30,47
AGOURA,0070004A,7,88,N,1212,TOTAL,312,43,20,9,52,49,90
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,36,12,11,30,27,50
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,25,8,3,22,16,42
AGOURA,0070006A,8,88,N,1201,TOTAL,337,61,20,14,52,43,92
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,7,0,0,6,9,16
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,8,1,3,10,45,20
AGOURA,0070008B,9,56,N,846,TOTAL,143,15,1,3,16,54,36
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,26,9,3,27,18,20
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,13,7,4,9,8,20
AGOURA,0070041A,10,88,N,716,TOTAL,193,39,16,7,36,26,40
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,20,7,6,26,23,31
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,14,5,8,19,23,43
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,34,12,14,45,46,74
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,31,3,3,25,15,42
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,28,6,3,22,32,56
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,59,9,6,47,47,98
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,14,10,7,20,19,34
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,12,5,4,17,15,24
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,26,15,11,37,34,58
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,21,8,4,26,14,42
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,15,11,7,18,11,42
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,36,19,11,44,25,84
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,29,4,7,30,10,39
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,16,3,4,20,15,32
