LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JULIA BROWNLEY,DOUGLAS W KMIEC,RAFAEL A DAGNESSES,JEFF GORELL
WESTLAKE VILLAGE,7770001A,2901,49,N,674,POLLING PLACE,50,21,4,6,15
WESTLAKE VILLAGE,7770001A,2901,49,N,0,VBM PORTION,74,17,2,13,36
WESTLAKE VILLAGE,7770001A,2901,49,N,674,TOTAL,124,38,6,19,51
WESTLAKE VILLAGE,7770002A,2902,49,N,1024,POLLING PLACE,148,62,3,12,59
WESTLAKE VILLAGE,7770002A,2902,49,N,0,VBM PORTION,144,54,4,8,64
WESTLAKE VILLAGE,7770002A,2902,49,N,1024,TOTAL,292,116,7,20,123
WESTLAKE VILLAGE,7770002B,2903,49,N,1136,POLLING PLACE,173,57,0,30,78
WESTLAKE VILLAGE,7770002B,2903,49,N,0,VBM PORTION,184,59,4,18,86
WESTLAKE VILLAGE,7770002B,2903,49,N,1136,TOTAL,357,116,4,48,164
WESTLAKE VILLAGE,7770011A,2904,49,N,1100,POLLING PLACE,108,32,3,7,58
WESTLAKE VILLAGE,7770011A,2904,49,N,0,VBM PORTION,133,40,2,6,71
WESTLAKE VILLAGE,7770011A,2904,49,N,1100,TOTAL,241,72,5,13,129
WESTLAKE VILLAGE,7770013A,2905,49,N,1110,POLLING PLACE,161,73,4,11,70
WESTLAKE VILLAGE,7770013A,2905,49,N,0,VBM PORTION,103,39,2,6,52
WESTLAKE VILLAGE,7770013A,2905,49,N,1110,TOTAL,264,112,6,17,122
WESTLAKE VILLAGE,7770080A,2906,49,N,1011,POLLING PLACE,87,27,2,6,45
WESTLAKE VILLAGE,7770080A,2906,49,N,0,VBM PORTION,132,48,3,11,65
WESTLAKE VILLAGE,7770080A,2906,49,N,1011,TOTAL,219,75,5,17,110
BALLOT GROUP 49,9990049A,8049,49,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 49,9990049A,8049,49,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 49,9990049A,8049,49,N,0,TOTAL,0,0,0,0,0
