LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARK S REED,PABLO KLEINMAN,MICHAEL W POWELSON,BRAD SHERMAN,MARC LITCHMAN
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,4,1,0,2,0
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,4,1,0,2,0
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,16,8,0,17,0
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,35,17,0,37,3
AGOURA,0070008B,9,56,N,846,TOTAL,143,51,25,0,54,3
BURBANK,0950012A,297,48,N,766,POLLING PLACE,65,18,6,2,28,6
BURBANK,0950012A,297,48,N,0,VBM PORTION,72,15,11,0,35,4
BURBANK,0950012A,297,48,N,766,TOTAL,137,33,17,2,63,10
BURBANK,0950016A,300,37,N,1270,POLLING PLACE,117,29,7,4,65,7
BURBANK,0950016A,300,37,N,0,VBM PORTION,133,28,20,4,66,7
BURBANK,0950016A,300,37,N,1270,TOTAL,250,57,27,8,131,14
BURBANK,0950017A,301,48,N,481,POLLING PLACE,38,7,4,1,17,5
BURBANK,0950017A,301,48,N,0,VBM PORTION,29,9,1,2,14,1
BURBANK,0950017A,301,48,N,481,TOTAL,67,16,5,3,31,6
BURBANK,0950035A,310,37,N,875,POLLING PLACE,46,8,3,4,27,3
BURBANK,0950035A,310,37,N,0,VBM PORTION,39,6,2,1,28,2
BURBANK,0950035A,310,37,N,875,TOTAL,85,14,5,5,55,5
BURBANK,0950040A,311,48,N,889,POLLING PLACE,99,29,6,5,44,5
BURBANK,0950040A,311,48,N,0,VBM PORTION,79,18,16,5,31,1
BURBANK,0950040A,311,48,N,889,TOTAL,178,47,22,10,75,6
BURBANK,0950175A,333,48,N,1254,POLLING PLACE,111,20,9,1,70,5
BURBANK,0950175A,333,48,N,0,VBM PORTION,87,22,8,5,45,6
BURBANK,0950175A,333,48,N,1254,TOTAL,198,42,17,6,115,11
BURBANK,0950177A,334,48,N,1421,POLLING PLACE,136,22,11,5,87,4
BURBANK,0950177A,334,48,N,0,VBM PORTION,132,22,16,3,73,8
BURBANK,0950177A,334,48,N,1421,TOTAL,268,44,27,8,160,12
BURBANK,0950178A,335,37,N,1331,POLLING PLACE,100,25,5,4,53,7
BURBANK,0950178A,335,37,N,0,VBM PORTION,118,21,17,5,63,3
BURBANK,0950178A,335,37,N,1331,TOTAL,218,46,22,9,116,10
BURBANK,0950180A,336,48,N,961,POLLING PLACE,86,18,7,7,40,2
BURBANK,0950180A,336,48,N,0,VBM PORTION,101,29,5,4,49,6
BURBANK,0950180A,336,48,N,961,TOTAL,187,47,12,11,89,8
