LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ED ROYCE,PETER O ANDERSON
DIAMOND BAR,1780001A,627,122,N,1214,POLLING PLACE,92,66,17
DIAMOND BAR,1780001A,627,122,N,0,VBM PORTION,113,81,26
DIAMOND BAR,1780001A,627,122,N,1214,TOTAL,205,147,43
DIAMOND BAR,1780002A,628,122,N,1233,POLLING PLACE,118,59,46
DIAMOND BAR,1780002A,628,122,N,0,VBM PORTION,108,63,37
DIAMOND BAR,1780002A,628,122,N,1233,TOTAL,226,122,83
DIAMOND BAR,1780004A,629,122,N,1243,POLLING PLACE,89,49,28
DIAMOND BAR,1780004A,629,122,N,0,VBM PORTION,124,88,23
DIAMOND BAR,1780004A,629,122,N,1243,TOTAL,213,137,51
DIAMOND BAR,1780006A,630,122,N,1139,POLLING PLACE,78,44,23
DIAMOND BAR,1780006A,630,122,N,0,VBM PORTION,112,67,37
DIAMOND BAR,1780006A,630,122,N,1139,TOTAL,190,111,60
DIAMOND BAR,1780007B,631,122,N,1132,POLLING PLACE,96,59,20
DIAMOND BAR,1780007B,631,122,N,0,VBM PORTION,99,56,37
DIAMOND BAR,1780007B,631,122,N,1132,TOTAL,195,115,57
DIAMOND BAR,1780008A,632,122,N,1256,POLLING PLACE,85,56,21
DIAMOND BAR,1780008A,632,122,N,0,VBM PORTION,159,108,35
DIAMOND BAR,1780008A,632,122,N,1256,TOTAL,244,164,56
DIAMOND BAR,1780014A,633,122,N,1277,POLLING PLACE,93,48,38
DIAMOND BAR,1780014A,633,122,N,0,VBM PORTION,119,71,39
DIAMOND BAR,1780014A,633,122,N,1277,TOTAL,212,119,77
DIAMOND BAR,1780020A,634,122,N,1147,POLLING PLACE,108,59,31
DIAMOND BAR,1780020A,634,122,N,0,VBM PORTION,139,86,36
DIAMOND BAR,1780020A,634,122,N,1147,TOTAL,247,145,67
DIAMOND BAR,1780021A,635,122,N,1087,POLLING PLACE,87,58,17
DIAMOND BAR,1780021A,635,122,N,0,VBM PORTION,108,75,26
DIAMOND BAR,1780021A,635,122,N,1087,TOTAL,195,133,43
DIAMOND BAR,1780041A,636,122,N,1222,POLLING PLACE,124,76,35
DIAMOND BAR,1780041A,636,122,N,0,VBM PORTION,112,69,31
DIAMOND BAR,1780041A,636,122,N,1222,TOTAL,236,145,66
DIAMOND BAR,1780043B,637,122,N,1231,POLLING PLACE,113,59,38
DIAMOND BAR,1780043B,637,122,N,0,VBM PORTION,119,81,30
DIAMOND BAR,1780043B,637,122,N,1231,TOTAL,232,140,68
DIAMOND BAR,1780063A,638,122,N,613,POLLING PLACE,58,25,27
DIAMOND BAR,1780063A,638,122,N,0,VBM PORTION,71,40,19
DIAMOND BAR,1780063A,638,122,N,613,TOTAL,129,65,46
