LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ANDY WHALLON,ALAN LOWENTHAL
AVALON,0500001A,127,187,N,496,POLLING PLACE,63,19,36
AVALON,0500001A,127,187,N,0,VBM PORTION,55,25,27
AVALON,0500001A,127,187,N,496,TOTAL,118,44,63
AVALON,0500003A,128,187,N,1234,POLLING PLACE,127,45,61
AVALON,0500003A,128,187,N,0,VBM PORTION,129,68,51
AVALON,0500003A,128,187,N,1234,TOTAL,256,113,112
BONNER,0930001A,290,192,N,1023,POLLING PLACE,132,55,64
BONNER,0930001A,290,192,N,0,VBM PORTION,112,53,50
BONNER,0930001A,290,192,N,1023,TOTAL,244,108,114
LAKEWOOD,3450040A,1289,172,N,793,POLLING PLACE,90,45,42
LAKEWOOD,3450040A,1289,172,N,0,VBM PORTION,84,29,52
LAKEWOOD,3450040A,1289,172,N,793,TOTAL,174,74,94
LAKEWOOD,3450042A,1290,172,N,936,POLLING PLACE,99,48,46
LAKEWOOD,3450042A,1290,172,N,0,VBM PORTION,85,41,40
LAKEWOOD,3450042A,1290,172,N,936,TOTAL,184,89,86
LAKEWOOD,3450043A,1291,172,N,1582,POLLING PLACE,168,74,71
LAKEWOOD,3450043A,1291,172,N,0,VBM PORTION,178,93,74
LAKEWOOD,3450043A,1291,172,N,1582,TOTAL,346,167,145
LAKEWOOD,3450045A,1292,172,N,1037,POLLING PLACE,111,56,53
LAKEWOOD,3450045A,1292,172,N,0,VBM PORTION,84,30,50
LAKEWOOD,3450045A,1292,172,N,1037,TOTAL,195,86,103
LAKEWOOD,3450046A,1293,172,N,763,POLLING PLACE,87,40,37
LAKEWOOD,3450046A,1293,172,N,0,VBM PORTION,66,26,32
LAKEWOOD,3450046A,1293,172,N,763,TOTAL,153,66,69
LAKEWOOD,3450048A,1294,172,N,1075,POLLING PLACE,131,73,47
LAKEWOOD,3450048A,1294,172,N,0,VBM PORTION,103,45,53
LAKEWOOD,3450048A,1294,172,N,1075,TOTAL,234,118,100
LAKEWOOD,3450054A,1295,167,N,1678,POLLING PLACE,185,93,65
LAKEWOOD,3450054A,1295,167,N,0,VBM PORTION,168,79,77
LAKEWOOD,3450054A,1295,167,N,1678,TOTAL,353,172,142
LAKEWOOD,3450055A,1296,167,N,1423,POLLING PLACE,132,62,49
LAKEWOOD,3450055A,1296,167,N,0,VBM PORTION,133,59,61
LAKEWOOD,3450055A,1296,167,N,1423,TOTAL,265,121,110
LAKEWOOD,3450062A,1299,167,N,1033,POLLING PLACE,135,56,71
LAKEWOOD,3450062A,1299,167,N,0,VBM PORTION,90,34,54
LAKEWOOD,3450062A,1299,167,N,1033,TOTAL,225,90,125
LAKEWOOD,3450064A,1300,167,N,1587,POLLING PLACE,170,78,74
LAKEWOOD,3450064A,1300,167,N,0,VBM PORTION,142,82,57
LAKEWOOD,3450064A,1300,167,N,1587,TOTAL,312,160,131
LONG BEACH,3850002A,6092,192,Y,3,POLLING PLACE,0,0,0
LONG BEACH,3850002A,6092,192,Y,0,VBM PORTION,0,0,0
LONG BEACH,3850002A,6092,192,Y,3,TOTAL,0,0,0
LONG BEACH,3850003A,1409,192,N,438,POLLING PLACE,11,2,7
LONG BEACH,3850003A,1409,192,N,0,VBM PORTION,4,1,3
LONG BEACH,3850003A,1409,192,N,438,TOTAL,15,3,10
LONG BEACH,3850007A,1412,192,N,1295,POLLING PLACE,108,15,75
LONG BEACH,3850007A,1412,192,N,0,VBM PORTION,101,20,77
LONG BEACH,3850007A,1412,192,N,1295,TOTAL,209,35,152
LONG BEACH,3850010A,1415,192,N,1548,POLLING PLACE,134,15,91
LONG BEACH,3850010A,1415,192,N,0,VBM PORTION,76,19,56
LONG BEACH,3850010A,1415,192,N,1548,TOTAL,210,34,147
LONG BEACH,3850012A,1417,192,N,1552,POLLING PLACE,158,42,98
LONG BEACH,3850012A,1417,192,N,0,VBM PORTION,220,60,139
LONG BEACH,3850012A,1417,192,N,1552,TOTAL,378,102,237
LONG BEACH,3850021A,1423,192,N,1193,POLLING PLACE,75,9,48
LONG BEACH,3850021A,1423,192,N,0,VBM PORTION,53,14,34
LONG BEACH,3850021A,1423,192,N,1193,TOTAL,128,23,82
LONG BEACH,3850025A,1425,192,N,1071,POLLING PLACE,62,9,37
LONG BEACH,3850025A,1425,192,N,0,VBM PORTION,70,14,52
LONG BEACH,3850025A,1425,192,N,1071,TOTAL,132,23,89
LONG BEACH,3850030A,1428,192,N,1067,POLLING PLACE,94,14,58
LONG BEACH,3850030A,1428,192,N,0,VBM PORTION,63,9,48
LONG BEACH,3850030A,1428,192,N,1067,TOTAL,157,23,106
LONG BEACH,3850034A,1431,192,N,992,POLLING PLACE,39,9,19
LONG BEACH,3850034A,1431,192,N,0,VBM PORTION,30,4,18
LONG BEACH,3850034A,1431,192,N,992,TOTAL,69,13,37
LONG BEACH,3850036A,1433,192,N,962,POLLING PLACE,104,10,82
LONG BEACH,3850036A,1433,192,N,0,VBM PORTION,103,16,83
LONG BEACH,3850036A,1433,192,N,962,TOTAL,207,26,165
LONG BEACH,3850038A,1435,192,N,971,POLLING PLACE,28,7,14
LONG BEACH,3850038A,1435,192,N,0,VBM PORTION,49,9,34
LONG BEACH,3850038A,1435,192,N,971,TOTAL,77,16,48
LONG BEACH,3850040A,1437,192,N,1221,POLLING PLACE,38,9,22
LONG BEACH,3850040A,1437,192,N,0,VBM PORTION,31,4,24
LONG BEACH,3850040A,1437,192,N,1221,TOTAL,69,13,46
LONG BEACH,3850042A,1439,172,N,854,POLLING PLACE,51,12,33
LONG BEACH,3850042A,1439,172,N,0,VBM PORTION,91,26,57
LONG BEACH,3850042A,1439,172,N,854,TOTAL,142,38,90
LONG BEACH,3850044D,1440,192,N,1137,POLLING PLACE,259,62,170
LONG BEACH,3850044D,1440,192,N,0,VBM PORTION,176,64,97
LONG BEACH,3850044D,1440,192,N,1137,TOTAL,435,126,267
LONG BEACH,3850045A,6096,192,Y,0,POLLING PLACE,0,0,0
LONG BEACH,3850045A,6096,192,Y,0,VBM PORTION,0,0,0
LONG BEACH,3850045A,6096,192,Y,0,TOTAL,0,0,0
LONG BEACH,3850045B,1441,192,N,996,POLLING PLACE,122,50,59
LONG BEACH,3850045B,1441,192,N,0,VBM PORTION,82,19,61
LONG BEACH,3850045B,1441,192,N,996,TOTAL,204,69,120
