LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIO DE LA PIEDRA,ROB MCCOY,JACQUI IRWIN
WESTLAKE VILLAGE,7770001A,2901,49,N,674,POLLING PLACE,50,12,13,23
WESTLAKE VILLAGE,7770001A,2901,49,N,0,VBM PORTION,74,20,26,19
WESTLAKE VILLAGE,7770001A,2901,49,N,674,TOTAL,124,32,39,42
WESTLAKE VILLAGE,7770002A,2902,49,N,1024,POLLING PLACE,148,34,39,64
WESTLAKE VILLAGE,7770002A,2902,49,N,0,VBM PORTION,144,41,30,49
WESTLAKE VILLAGE,7770002A,2902,49,N,1024,TOTAL,292,75,69,113
WESTLAKE VILLAGE,7770002B,2903,49,N,1136,POLLING PLACE,173,57,49,55
WESTLAKE VILLAGE,7770002B,2903,49,N,0,VBM PORTION,184,45,56,64
WESTLAKE VILLAGE,7770002B,2903,49,N,1136,TOTAL,357,102,105,119
WESTLAKE VILLAGE,7770011A,2904,49,N,1100,POLLING PLACE,108,35,29,34
WESTLAKE VILLAGE,7770011A,2904,49,N,0,VBM PORTION,133,36,32,45
WESTLAKE VILLAGE,7770011A,2904,49,N,1100,TOTAL,241,71,61,79
WESTLAKE VILLAGE,7770013A,2905,49,N,1110,POLLING PLACE,161,37,45,76
WESTLAKE VILLAGE,7770013A,2905,49,N,0,VBM PORTION,103,19,34,40
WESTLAKE VILLAGE,7770013A,2905,49,N,1110,TOTAL,264,56,79,116
WESTLAKE VILLAGE,7770080A,2906,49,N,1011,POLLING PLACE,87,24,21,34
WESTLAKE VILLAGE,7770080A,2906,49,N,0,VBM PORTION,132,38,35,54
WESTLAKE VILLAGE,7770080A,2906,49,N,1011,TOTAL,219,62,56,88
BALLOT GROUP 49,9990049A,8049,49,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 49,9990049A,8049,49,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 49,9990049A,8049,49,N,0,TOTAL,0,0,0,0
