LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ED CHAU,ESTHELA T SIEGRIST
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,57,24
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,42,21
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,99,45
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,38,8
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,42,7
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,80,15
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,75,49
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,67,46
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,142,95
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,39,18
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,45,20
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,84,38
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,44,21
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,45,4
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,89,25
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,78,38
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,69,31
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,147,69
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,56,13
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,40,21
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,96,34
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,40,32
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,38,16
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,78,48
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,67,41
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,42,28
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,109,69
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,51,36
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,23,43
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,74,79
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,51,24
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,43,14
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,94,38
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,37,25
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,77,34
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,114,59
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,71,16
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,38,18
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,109,34
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,59,9
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,46,22
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,105,31
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,26,6
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,18,12
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,44,18
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,40,7
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,45,12
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,85,19
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,55,22
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,55,12
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,110,34
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,51,29
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,54,13
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,105,42
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,26,18
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,24,10
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,50,28
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,58,28
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,34,33
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,92,61
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,30,14
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,48,17
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,78,31
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,65,27
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,55,24
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,120,51
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,30,13
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,46,15
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,76,28
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,40,9
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,28,17
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,68,26
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,22,18
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,41,11
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,63,29
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,35,18
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,53,16
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,88,34
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,56,22
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,42,19
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,98,41
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,57,24
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,34,26
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,91,50
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,47,19
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,35,11
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,82,30
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,49,20
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,36,13
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,85,33
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,18,6
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,31,5
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,49,11
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,84,20
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,31,15
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,115,35
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,52,30
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,45,36
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,97,66
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,63,44
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,42,31
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,105,75
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,37,20
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,58,76
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,95,96
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,42,25
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,28,32
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,70,57
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,40,80
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,50,74
ARCADIA,0350001A,92,76,N,998,TOTAL,269,90,154
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,39,50
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,68,79
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,107,129
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,23,59
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,54,83
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,77,142
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,50,97
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,66,79
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,116,176
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,42,47
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,63,83
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,105,130
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,50,61
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,45,68
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,95,129
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,50,75
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,64,138
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,114,213
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,34,44
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,72,42
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,106,86
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,44,32
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,60,54
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,104,86
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,56,52
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,55,69
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,111,121
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,38,28
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,60,45
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,98,73
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,40,45
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,54,54
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,94,99
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,34,53
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,59,41
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,93,94
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,42,56
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,48,54
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,90,110
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,35,29
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,42,23
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,77,52
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,43,20
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,33,25
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,76,45
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,32,43
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,57,64
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,89,107
ARCADIA,0350048A,109,76,N,1098,POLLING PLACE,112,48,49
ARCADIA,0350048A,109,76,N,0,VBM PORTION,92,50,33
ARCADIA,0350048A,109,76,N,1098,TOTAL,204,98,82
ARCADIA,0350054A,110,76,N,1254,POLLING PLACE,135,59,59
ARCADIA,0350054A,110,76,N,0,VBM PORTION,152,79,46
ARCADIA,0350054A,110,76,N,1254,TOTAL,287,138,105
ARCADIA,0350058A,111,76,N,1346,POLLING PLACE,119,54,51
ARCADIA,0350058A,111,76,N,0,VBM PORTION,114,50,51
ARCADIA,0350058A,111,76,N,1346,TOTAL,233,104,102
ARCADIA,0350062B,112,76,N,1218,POLLING PLACE,81,32,40
ARCADIA,0350062B,112,76,N,0,VBM PORTION,115,52,48
ARCADIA,0350062B,112,76,N,1218,TOTAL,196,84,88
ARCADIA,0350079A,113,76,N,1247,POLLING PLACE,107,51,46
ARCADIA,0350079A,113,76,N,0,VBM PORTION,123,54,55
ARCADIA,0350079A,113,76,N,1247,TOTAL,230,105,101
ARCADIA,0350104A,114,76,N,1310,POLLING PLACE,114,51,50
ARCADIA,0350104A,114,76,N,0,VBM PORTION,127,52,54
ARCADIA,0350104A,114,76,N,1310,TOTAL,241,103,104
EAST ARCADIA,1940005A,734,77,N,1048,POLLING PLACE,105,50,45
EAST ARCADIA,1940005A,734,77,N,0,VBM PORTION,102,51,37
EAST ARCADIA,1940005A,734,77,N,1048,TOTAL,207,101,82
EAST ARCADIA,1940007A,735,77,N,555,POLLING PLACE,47,11,33
EAST ARCADIA,1940007A,735,77,N,0,VBM PORTION,37,17,18
EAST ARCADIA,1940007A,735,77,N,555,TOTAL,84,28,51
EAST ARCADIA,1940010A,737,76,N,1151,POLLING PLACE,120,41,69
EAST ARCADIA,1940010A,737,76,N,0,VBM PORTION,116,44,62
EAST ARCADIA,1940010A,737,76,N,1151,TOTAL,236,85,131
EAST ARCADIA,1940013A,739,76,N,891,POLLING PLACE,88,47,34
EAST ARCADIA,1940013A,739,76,N,0,VBM PORTION,108,45,47
EAST ARCADIA,1940013A,739,76,N,891,TOTAL,196,92,81
EAST SAN GABRIEL,2040001A,781,76,N,1153,POLLING PLACE,42,23,17
EAST SAN GABRIEL,2040001A,781,76,N,0,VBM PORTION,104,58,41
EAST SAN GABRIEL,2040001A,781,76,N,1153,TOTAL,146,81,58
EAST SAN GABRIEL,2040003A,782,76,N,1312,POLLING PLACE,72,36,28
EAST SAN GABRIEL,2040003A,782,76,N,0,VBM PORTION,82,45,28
EAST SAN GABRIEL,2040003A,782,76,N,1312,TOTAL,154,81,56
EAST SAN GABRIEL,2040004A,783,76,N,1105,POLLING PLACE,86,39,41
EAST SAN GABRIEL,2040004A,783,76,N,0,VBM PORTION,112,58,36
EAST SAN GABRIEL,2040004A,783,76,N,1105,TOTAL,198,97,77
EAST SAN GABRIEL,2040010A,784,76,N,1179,POLLING PLACE,77,40,31
EAST SAN GABRIEL,2040010A,784,76,N,0,VBM PORTION,98,42,39
EAST SAN GABRIEL,2040010A,784,76,N,1179,TOTAL,175,82,70
EAST SAN GABRIEL,2040012A,785,76,N,1290,POLLING PLACE,93,43,43
EAST SAN GABRIEL,2040012A,785,76,N,0,VBM PORTION,116,56,46
EAST SAN GABRIEL,2040012A,785,76,N,1290,TOTAL,209,99,89
EAST SAN GABRIEL,2040015A,786,76,N,1106,POLLING PLACE,109,47,55
EAST SAN GABRIEL,2040015A,786,76,N,0,VBM PORTION,128,56,54
EAST SAN GABRIEL,2040015A,786,76,N,1106,TOTAL,237,103,109
EAST SAN GABRIEL,2040016B,787,76,N,977,POLLING PLACE,72,37,26
EAST SAN GABRIEL,2040016B,787,76,N,0,VBM PORTION,96,50,29
EAST SAN GABRIEL,2040016B,787,76,N,977,TOTAL,168,87,55
EAST SAN GABRIEL,2040019A,788,76,N,1273,POLLING PLACE,111,53,53
EAST SAN GABRIEL,2040019A,788,76,N,0,VBM PORTION,127,57,60
EAST SAN GABRIEL,2040019A,788,76,N,1273,TOTAL,238,110,113
EAST SAN GABRIEL,2040021A,789,76,N,1023,POLLING PLACE,105,54,43
EAST SAN GABRIEL,2040021A,789,76,N,0,VBM PORTION,126,64,42
EAST SAN GABRIEL,2040021A,789,76,N,1023,TOTAL,231,118,85
EL MONTE,2100001A,795,73,N,1136,POLLING PLACE,69,39,23
EL MONTE,2100001A,795,73,N,0,VBM PORTION,94,55,35
EL MONTE,2100001A,795,73,N,1136,TOTAL,163,94,58
EL MONTE,2100005A,796,73,N,1064,POLLING PLACE,44,25,11
EL MONTE,2100005A,796,73,N,0,VBM PORTION,60,24,23
EL MONTE,2100005A,796,73,N,1064,TOTAL,104,49,34
EL MONTE,2100006B,797,73,N,1075,POLLING PLACE,106,55,44
EL MONTE,2100006B,797,73,N,0,VBM PORTION,52,27,17
EL MONTE,2100006B,797,73,N,1075,TOTAL,158,82,61
EL MONTE,2100008B,798,73,N,1295,POLLING PLACE,55,36,15
