LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,10,7
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,10,7
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,87,52
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,65,60
AGOURA,0070004A,7,88,N,1212,TOTAL,312,152,112
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,105,59
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,68,57
AGOURA,0070006A,8,88,N,1201,TOTAL,337,173,116
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,65,38
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,34,18
AGOURA,0070041A,10,88,N,716,TOTAL,193,99,56
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,56,54
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,68,41
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,124,95
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,75,55
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,67,74
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,142,129
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,54,45
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,41,39
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,95,84
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,60,42
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,52,50
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,112,92
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,81,39
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,46,47
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,127,86
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,57,65
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,76,57
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,133,122
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,71,60
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,51,66
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,122,126
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,42,34
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,53,19
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,95,53
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,67,65
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,65,66
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,132,131
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,50,44
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,60,54
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,110,98
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,51,40
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,84,31
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,135,71
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,69,53
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,67,48
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,136,101
BEVERLY HILLS,0900001A,270,82,N,749,POLLING PLACE,85,39,25
BEVERLY HILLS,0900001A,270,82,N,0,VBM PORTION,96,65,17
BEVERLY HILLS,0900001A,270,82,N,749,TOTAL,181,104,42
BEVERLY HILLS,0900002A,271,82,N,1322,POLLING PLACE,92,51,21
BEVERLY HILLS,0900002A,271,82,N,0,VBM PORTION,141,81,37
BEVERLY HILLS,0900002A,271,82,N,1322,TOTAL,233,132,58
BEVERLY HILLS,0900003A,272,82,N,630,POLLING PLACE,86,54,15
BEVERLY HILLS,0900003A,272,82,N,0,VBM PORTION,88,42,23
BEVERLY HILLS,0900003A,272,82,N,630,TOTAL,174,96,38
BEVERLY HILLS,0900004A,273,82,N,883,POLLING PLACE,58,17,14
BEVERLY HILLS,0900004A,273,82,N,0,VBM PORTION,131,69,39
BEVERLY HILLS,0900004A,273,82,N,883,TOTAL,189,86,53
BEVERLY HILLS,0900005A,274,82,N,1171,POLLING PLACE,178,85,55
BEVERLY HILLS,0900005A,274,82,N,0,VBM PORTION,171,79,64
BEVERLY HILLS,0900005A,274,82,N,1171,TOTAL,349,164,119
BEVERLY HILLS,0900006A,275,82,N,879,POLLING PLACE,73,24,30
BEVERLY HILLS,0900006A,275,82,N,0,VBM PORTION,114,50,44
BEVERLY HILLS,0900006A,275,82,N,879,TOTAL,187,74,74
BEVERLY HILLS,0900008A,276,82,N,1196,POLLING PLACE,123,49,34
BEVERLY HILLS,0900008A,276,82,N,0,VBM PORTION,163,74,61
BEVERLY HILLS,0900008A,276,82,N,1196,TOTAL,286,123,95
BEVERLY HILLS,0900010A,277,82,N,977,POLLING PLACE,86,38,31
BEVERLY HILLS,0900010A,277,82,N,0,VBM PORTION,125,65,36
BEVERLY HILLS,0900010A,277,82,N,977,TOTAL,211,103,67
BEVERLY HILLS,0900014A,6017,85,Y,2,POLLING PLACE,0,0,0
BEVERLY HILLS,0900014A,6017,85,Y,0,VBM PORTION,0,0,0
BEVERLY HILLS,0900014A,6017,85,Y,2,TOTAL,0,0,0
BEVERLY HILLS,0900016B,278,82,N,939,POLLING PLACE,84,42,16
BEVERLY HILLS,0900016B,278,82,N,0,VBM PORTION,86,43,28
BEVERLY HILLS,0900016B,278,82,N,939,TOTAL,170,85,44
BEVERLY HILLS,0900018A,279,82,N,626,POLLING PLACE,53,33,9
BEVERLY HILLS,0900018A,279,82,N,0,VBM PORTION,100,58,30
BEVERLY HILLS,0900018A,279,82,N,626,TOTAL,153,91,39
BEVERLY HILLS,0900020A,280,82,N,1230,POLLING PLACE,94,53,18
BEVERLY HILLS,0900020A,280,82,N,0,VBM PORTION,101,55,28
BEVERLY HILLS,0900020A,280,82,N,1230,TOTAL,195,108,46
BEVERLY HILLS,0900023A,281,82,N,1321,POLLING PLACE,121,65,33
BEVERLY HILLS,0900023A,281,82,N,0,VBM PORTION,115,64,37
BEVERLY HILLS,0900023A,281,82,N,1321,TOTAL,236,129,70
BEVERLY HILLS,0900023B,282,82,N,1022,POLLING PLACE,93,55,19
BEVERLY HILLS,0900023B,282,82,N,0,VBM PORTION,153,100,33
BEVERLY HILLS,0900023B,282,82,N,1022,TOTAL,246,155,52
BEVERLY HILLS,0900026A,283,82,N,1405,POLLING PLACE,149,89,32
BEVERLY HILLS,0900026A,283,82,N,0,VBM PORTION,113,65,27
BEVERLY HILLS,0900026A,283,82,N,1405,TOTAL,262,154,59
BEVERLY HILLS,0900030A,284,82,N,1083,POLLING PLACE,130,77,30
BEVERLY HILLS,0900030A,284,82,N,0,VBM PORTION,105,55,34
BEVERLY HILLS,0900030A,284,82,N,1083,TOTAL,235,132,64
BEVERLY HILLS,0900033B,6018,83,Y,10,POLLING PLACE,0,0,0
BEVERLY HILLS,0900033B,6018,83,Y,0,VBM PORTION,4,2,2
BEVERLY HILLS,0900033B,6018,83,Y,10,TOTAL,4,2,2
BEVERLY HILLS,0900033I,285,82,N,1100,POLLING PLACE,111,75,24
BEVERLY HILLS,0900033I,285,82,N,0,VBM PORTION,133,95,20
BEVERLY HILLS,0900033I,285,82,N,1100,TOTAL,244,170,44
BEVERLY HILLS,0900036A,286,82,N,1297,POLLING PLACE,105,61,21
