LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MICHELLE WALKER,SANDRA MENDOZA,MICHAEL ALDAPA,MIGUEL SANTIAGO
HUNTINGTON PARK,2850001A,1091,98,N,1158,POLLING PLACE,63,3,22,1,36
HUNTINGTON PARK,2850001A,1091,98,N,0,VBM PORTION,22,0,4,2,11
HUNTINGTON PARK,2850001A,1091,98,N,1158,TOTAL,85,3,26,3,47
HUNTINGTON PARK,2850004A,1092,98,N,1048,POLLING PLACE,65,3,20,2,34
HUNTINGTON PARK,2850004A,1092,98,N,0,VBM PORTION,44,3,15,5,19
HUNTINGTON PARK,2850004A,1092,98,N,1048,TOTAL,109,6,35,7,53
HUNTINGTON PARK,2850006A,1094,98,N,1107,POLLING PLACE,51,1,11,0,26
HUNTINGTON PARK,2850006A,1094,98,N,0,VBM PORTION,28,1,10,0,13
HUNTINGTON PARK,2850006A,1094,98,N,1107,TOTAL,79,2,21,0,39
HUNTINGTON PARK,2850009A,1096,98,N,720,POLLING PLACE,54,4,11,1,37
HUNTINGTON PARK,2850009A,1096,98,N,0,VBM PORTION,17,4,3,0,9
HUNTINGTON PARK,2850009A,1096,98,N,720,TOTAL,71,8,14,1,46
HUNTINGTON PARK,2850010A,1097,98,N,1122,POLLING PLACE,56,2,15,3,34
HUNTINGTON PARK,2850010A,1097,98,N,0,VBM PORTION,66,9,13,5,30
HUNTINGTON PARK,2850010A,1097,98,N,1122,TOTAL,122,11,28,8,64
HUNTINGTON PARK,2850011A,1098,98,N,1207,POLLING PLACE,79,9,16,5,41
HUNTINGTON PARK,2850011A,1098,98,N,0,VBM PORTION,41,2,8,2,28
HUNTINGTON PARK,2850011A,1098,98,N,1207,TOTAL,120,11,24,7,69
HUNTINGTON PARK,2850012A,1099,98,N,1226,POLLING PLACE,67,3,15,8,31
HUNTINGTON PARK,2850012A,1099,98,N,0,VBM PORTION,43,5,9,2,21
HUNTINGTON PARK,2850012A,1099,98,N,1226,TOTAL,110,8,24,10,52
HUNTINGTON PARK,2850015A,1100,98,N,1001,POLLING PLACE,62,3,21,2,30
HUNTINGTON PARK,2850015A,1100,98,N,0,VBM PORTION,38,3,10,6,16
HUNTINGTON PARK,2850015A,1100,98,N,1001,TOTAL,100,6,31,8,46
HUNTINGTON PARK,2850017A,1101,98,N,1013,POLLING PLACE,110,9,22,4,48
HUNTINGTON PARK,2850017A,1101,98,N,0,VBM PORTION,41,6,9,0,21
HUNTINGTON PARK,2850017A,1101,98,N,1013,TOTAL,151,15,31,4,69
HUNTINGTON PARK,2850022A,1102,98,N,808,POLLING PLACE,42,2,5,2,30
HUNTINGTON PARK,2850022A,1102,98,N,0,VBM PORTION,44,3,4,1,34
HUNTINGTON PARK,2850022A,1102,98,N,808,TOTAL,86,5,9,3,64
HUNTINGTON PARK,2850025A,1103,98,N,1154,POLLING PLACE,61,0,11,3,41
HUNTINGTON PARK,2850025A,1103,98,N,0,VBM PORTION,34,1,5,1,21
HUNTINGTON PARK,2850025A,1103,98,N,1154,TOTAL,95,1,16,4,62
HUNTINGTON PARK,2850026A,1104,98,N,1196,POLLING PLACE,60,4,15,1,33
HUNTINGTON PARK,2850026A,1104,98,N,0,VBM PORTION,49,7,11,13,15
HUNTINGTON PARK,2850026A,1104,98,N,1196,TOTAL,109,11,26,14,48
HUNTINGTON PARK,2850029A,1105,98,N,1022,POLLING PLACE,67,3,15,3,41
HUNTINGTON PARK,2850029A,1105,98,N,0,VBM PORTION,23,2,4,1,10
HUNTINGTON PARK,2850029A,1105,98,N,1022,TOTAL,90,5,19,4,51
HUNTINGTON PARK,2850050A,1106,98,N,1152,POLLING PLACE,79,5,15,2,54
HUNTINGTON PARK,2850050A,1106,98,N,0,VBM PORTION,50,5,15,3,23
HUNTINGTON PARK,2850050A,1106,98,N,1152,TOTAL,129,10,30,5,77
VERNON,7450011A,6172,98,Y,60,POLLING PLACE,0,0,0,0,0
VERNON,7450011A,6172,98,Y,0,VBM PORTION,14,0,1,7,3
VERNON,7450011A,6172,98,Y,60,TOTAL,14,0,1,7,3
LOS ANGELES,9000038A,2993,95,N,918,POLLING PLACE,129,2,38,8,71
LOS ANGELES,9000038A,2993,95,N,0,VBM PORTION,34,0,14,2,15
LOS ANGELES,9000038A,2993,95,N,918,TOTAL,163,2,52,10,86
LOS ANGELES,9000048A,2997,100,N,748,POLLING PLACE,58,5,13,5,22
LOS ANGELES,9000048A,2997,100,N,0,VBM PORTION,38,2,7,4,20
LOS ANGELES,9000048A,2997,100,N,748,TOTAL,96,7,20,9,42
LOS ANGELES,9000049A,2998,103,N,1060,POLLING PLACE,73,11,11,11,31
LOS ANGELES,9000049A,2998,103,N,0,VBM PORTION,91,10,13,7,32
LOS ANGELES,9000049A,2998,103,N,1060,TOTAL,164,21,24,18,63
LOS ANGELES,9000052A,3000,103,N,891,POLLING PLACE,75,4,20,6,37
LOS ANGELES,9000052A,3000,103,N,0,VBM PORTION,51,8,6,4,26
LOS ANGELES,9000052A,3000,103,N,891,TOTAL,126,12,26,10,63
LOS ANGELES,9000053A,3001,103,N,991,POLLING PLACE,89,3,43,4,31
LOS ANGELES,9000053A,3001,103,N,0,VBM PORTION,37,4,7,5,13
LOS ANGELES,9000053A,3001,103,N,991,TOTAL,126,7,50,9,44
LOS ANGELES,9000273B,3140,95,N,712,POLLING PLACE,75,2,18,2,42
LOS ANGELES,9000273B,3140,95,N,0,VBM PORTION,16,0,3,1,10
LOS ANGELES,9000273B,3140,95,N,712,TOTAL,91,2,21,3,52
LOS ANGELES,9000275B,3141,95,N,839,POLLING PLACE,66,0,22,7,30
LOS ANGELES,9000275B,3141,95,N,0,VBM PORTION,27,0,6,1,18
LOS ANGELES,9000275B,3141,95,N,839,TOTAL,93,0,28,8,48
LOS ANGELES,9000277A,3142,95,N,921,POLLING PLACE,93,3,19,5,56
LOS ANGELES,9000277A,3142,95,N,0,VBM PORTION,42,0,9,0,31
LOS ANGELES,9000277A,3142,95,N,921,TOTAL,135,3,28,5,87
LOS ANGELES,9000476A,3267,103,N,590,POLLING PLACE,24,4,4,1,13
LOS ANGELES,9000476A,3267,103,N,0,VBM PORTION,25,2,4,3,9
LOS ANGELES,9000476A,3267,103,N,590,TOTAL,49,6,8,4,22
LOS ANGELES,9000493B,3274,96,N,1487,POLLING PLACE,114,15,18,13,48
LOS ANGELES,9000493B,3274,96,N,0,VBM PORTION,84,6,7,5,45
LOS ANGELES,9000493B,3274,96,N,1487,TOTAL,198,21,25,18,93
LOS ANGELES,9000517A,3293,103,N,971,POLLING PLACE,93,9,28,8,42
