LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,R JONES-SAWYER
FLORENCE,2300001A,843,153,N,745,POLLING PLACE,47,33
FLORENCE,2300001A,843,153,N,0,VBM PORTION,19,19
FLORENCE,2300001A,843,153,N,745,TOTAL,66,52
FLORENCE,2300002A,844,152,N,1175,POLLING PLACE,63,46
FLORENCE,2300002A,844,152,N,0,VBM PORTION,29,23
FLORENCE,2300002A,844,152,N,1175,TOTAL,92,69
FLORENCE,2300003A,845,152,N,1069,POLLING PLACE,53,41
FLORENCE,2300003A,845,152,N,0,VBM PORTION,16,14
FLORENCE,2300003A,845,152,N,1069,TOTAL,69,55
FLORENCE,2300004A,846,152,N,1057,POLLING PLACE,53,37
FLORENCE,2300004A,846,152,N,0,VBM PORTION,37,32
FLORENCE,2300004A,846,152,N,1057,TOTAL,90,69
FLORENCE,2300005A,847,152,N,679,POLLING PLACE,55,37
FLORENCE,2300005A,847,152,N,0,VBM PORTION,12,11
FLORENCE,2300005A,847,152,N,679,TOTAL,67,48
FLORENCE,2300006A,848,152,N,874,POLLING PLACE,26,18
FLORENCE,2300006A,848,152,N,0,VBM PORTION,13,9
FLORENCE,2300006A,848,152,N,874,TOTAL,39,27
FLORENCE,2300008A,849,152,N,972,POLLING PLACE,27,24
FLORENCE,2300008A,849,152,N,0,VBM PORTION,26,23
FLORENCE,2300008A,849,152,N,972,TOTAL,53,47
FLORENCE,2300009A,850,152,N,766,POLLING PLACE,24,17
FLORENCE,2300009A,850,152,N,0,VBM PORTION,20,13
FLORENCE,2300009A,850,152,N,766,TOTAL,44,30
FLORENCE,2300010A,851,152,N,785,POLLING PLACE,29,21
FLORENCE,2300010A,851,152,N,0,VBM PORTION,15,12
FLORENCE,2300010A,851,152,N,785,TOTAL,44,33
FLORENCE,2300011A,852,152,N,808,POLLING PLACE,40,32
FLORENCE,2300011A,852,152,N,0,VBM PORTION,11,9
FLORENCE,2300011A,852,152,N,808,TOTAL,51,41
FLORENCE,2300012A,853,152,N,1054,POLLING PLACE,43,37
FLORENCE,2300012A,853,152,N,0,VBM PORTION,21,20
FLORENCE,2300012A,853,152,N,1054,TOTAL,64,57
FLORENCE,2300013A,854,152,N,794,POLLING PLACE,36,26
FLORENCE,2300013A,854,152,N,0,VBM PORTION,26,16
FLORENCE,2300013A,854,152,N,794,TOTAL,62,42
FLORENCE,2300016A,855,153,N,920,POLLING PLACE,53,41
FLORENCE,2300016A,855,153,N,0,VBM PORTION,35,32
FLORENCE,2300016A,855,153,N,920,TOTAL,88,73
FLORENCE,2300018A,856,153,N,1226,POLLING PLACE,56,40
FLORENCE,2300018A,856,153,N,0,VBM PORTION,33,28
FLORENCE,2300018A,856,153,N,1226,TOTAL,89,68
FLORENCE,2300019A,857,153,N,827,POLLING PLACE,33,16
FLORENCE,2300019A,857,153,N,0,VBM PORTION,12,11
FLORENCE,2300019A,857,153,N,827,TOTAL,45,27
FLORENCE,2300025A,858,152,N,792,POLLING PLACE,20,15
FLORENCE,2300025A,858,152,N,0,VBM PORTION,10,7
FLORENCE,2300025A,858,152,N,792,TOTAL,30,22
FLORENCE,2300034A,859,153,N,997,POLLING PLACE,29,14
FLORENCE,2300034A,859,153,N,0,VBM PORTION,9,9
FLORENCE,2300034A,859,153,N,997,TOTAL,38,23
FLORENCE,2300040A,860,153,N,993,POLLING PLACE,41,27
FLORENCE,2300040A,860,153,N,0,VBM PORTION,18,13
FLORENCE,2300040A,860,153,N,993,TOTAL,59,40
FLORENCE,2300041B,861,152,N,733,POLLING PLACE,33,12
FLORENCE,2300041B,861,152,N,0,VBM PORTION,11,8
FLORENCE,2300041B,861,152,N,733,TOTAL,44,20
FLORENCE,2300042A,862,153,N,1001,POLLING PLACE,39,21
FLORENCE,2300042A,862,153,N,0,VBM PORTION,13,9
FLORENCE,2300042A,862,153,N,1001,TOTAL,52,30
FLORENCE,2300043A,863,152,N,575,POLLING PLACE,19,16
FLORENCE,2300043A,863,152,N,0,VBM PORTION,19,13
FLORENCE,2300043A,863,152,N,575,TOTAL,38,29
HUNTINGTON PARK,2850005B,1093,144,N,764,POLLING PLACE,45,32
HUNTINGTON PARK,2850005B,1093,144,N,0,VBM PORTION,17,16
HUNTINGTON PARK,2850005B,1093,144,N,764,TOTAL,62,48
HUNTINGTON PARK,2850008A,1095,144,N,904,POLLING PLACE,62,44
HUNTINGTON PARK,2850008A,1095,144,N,0,VBM PORTION,16,16
HUNTINGTON PARK,2850008A,1095,144,N,904,TOTAL,78,60
WALNUT PARK,7650001A,2777,145,N,1135,POLLING PLACE,73,40
WALNUT PARK,7650001A,2777,145,N,0,VBM PORTION,32,22
WALNUT PARK,7650001A,2777,145,N,1135,TOTAL,105,62
WALNUT PARK,7650004A,2778,145,N,1029,POLLING PLACE,69,52
WALNUT PARK,7650004A,2778,145,N,0,VBM PORTION,21,17
WALNUT PARK,7650004A,2778,145,N,1029,TOTAL,90,69
WALNUT PARK,7650005A,2779,145,N,1073,POLLING PLACE,63,39
WALNUT PARK,7650005A,2779,145,N,0,VBM PORTION,19,14
WALNUT PARK,7650005A,2779,145,N,1073,TOTAL,82,53
WALNUT PARK,7650006A,2780,145,N,972,POLLING PLACE,61,44
WALNUT PARK,7650006A,2780,145,N,0,VBM PORTION,32,20
WALNUT PARK,7650006A,2780,145,N,972,TOTAL,93,64
