LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,74,58
ACTON,0050003A,1,3,N,0,VBM PORTION,133,53,57
ACTON,0050003A,1,3,N,1086,TOTAL,288,127,115
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,35,45
ACTON,0050004A,2,3,N,0,VBM PORTION,132,58,47
ACTON,0050004A,2,3,N,820,TOTAL,242,93,92
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,52,47
ACTON,0050005A,3,3,N,0,VBM PORTION,83,30,28
ACTON,0050005A,3,3,N,748,TOTAL,205,82,75
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,32,15
ACTON,0050014A,4,3,N,0,VBM PORTION,57,28,20
ACTON,0050014A,4,3,N,488,TOTAL,114,60,35
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,13,5
ACTON,0050022A,6001,4,Y,61,TOTAL,22,13,5
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,1,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,1,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,63,58
ACTON,0050059A,5,3,N,0,VBM PORTION,122,43,65
ACTON,0050059A,5,3,N,1211,TOTAL,272,106,123
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,63,63
ACTON,0050061A,6,3,N,0,VBM PORTION,155,64,61
ACTON,0050061A,6,3,N,1159,TOTAL,308,127,124
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0
