LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM BREWER,PAT FUREY,BILL SUTHERLAND
TORRANCE,7150001A,2653,185,N,735,POLLING PLACE,93,30,37,15
TORRANCE,7150001A,2653,185,N,0,VBM PORTION,94,23,42,16
TORRANCE,7150001A,2653,185,N,735,TOTAL,187,53,79,31
TORRANCE,7150002A,2654,185,N,906,POLLING PLACE,163,59,74,19
TORRANCE,7150002A,2654,185,N,0,VBM PORTION,125,39,45,15
TORRANCE,7150002A,2654,185,N,906,TOTAL,288,98,119,34
TORRANCE,7150003A,2655,185,N,994,POLLING PLACE,113,22,64,20
TORRANCE,7150003A,2655,185,N,0,VBM PORTION,101,30,49,10
TORRANCE,7150003A,2655,185,N,994,TOTAL,214,52,113,30
TORRANCE,7150004A,2656,185,N,1245,POLLING PLACE,107,19,61,19
TORRANCE,7150004A,2656,185,N,0,VBM PORTION,126,27,46,39
TORRANCE,7150004A,2656,185,N,1245,TOTAL,233,46,107,58
TORRANCE,7150005A,2657,185,N,882,POLLING PLACE,109,26,48,24
TORRANCE,7150005A,2657,185,N,0,VBM PORTION,103,23,44,27
TORRANCE,7150005A,2657,185,N,882,TOTAL,212,49,92,51
TORRANCE,7150008A,2658,185,N,910,POLLING PLACE,93,24,47,14
TORRANCE,7150008A,2658,185,N,0,VBM PORTION,123,27,50,22
TORRANCE,7150008A,2658,185,N,910,TOTAL,216,51,97,36
TORRANCE,7150009A,2659,185,N,969,POLLING PLACE,117,30,57,17
TORRANCE,7150009A,2659,185,N,0,VBM PORTION,125,42,48,17
TORRANCE,7150009A,2659,185,N,969,TOTAL,242,72,105,34
TORRANCE,7150010A,2660,185,N,1478,POLLING PLACE,130,30,65,21
TORRANCE,7150010A,2660,185,N,0,VBM PORTION,171,44,68,33
TORRANCE,7150010A,2660,185,N,1478,TOTAL,301,74,133,54
TORRANCE,7150012A,2661,185,N,904,POLLING PLACE,103,25,51,19
TORRANCE,7150012A,2661,185,N,0,VBM PORTION,103,34,22,31
TORRANCE,7150012A,2661,185,N,904,TOTAL,206,59,73,50
TORRANCE,7150013A,2662,185,N,1369,POLLING PLACE,161,41,90,23
TORRANCE,7150013A,2662,185,N,0,VBM PORTION,176,46,91,24
TORRANCE,7150013A,2662,185,N,1369,TOTAL,337,87,181,47
TORRANCE,7150015A,2663,185,N,1238,POLLING PLACE,180,36,99,30
TORRANCE,7150015A,2663,185,N,0,VBM PORTION,174,45,64,36
TORRANCE,7150015A,2663,185,N,1238,TOTAL,354,81,163,66
TORRANCE,7150016A,2664,185,N,768,POLLING PLACE,142,40,67,25
TORRANCE,7150016A,2664,185,N,0,VBM PORTION,103,22,44,14
TORRANCE,7150016A,2664,185,N,768,TOTAL,245,62,111,39
TORRANCE,7150017A,2665,185,N,1103,POLLING PLACE,174,54,85,25
TORRANCE,7150017A,2665,185,N,0,VBM PORTION,168,46,61,33
TORRANCE,7150017A,2665,185,N,1103,TOTAL,342,100,146,58
TORRANCE,7150021A,2666,180,N,1000,POLLING PLACE,218,102,74,27
TORRANCE,7150021A,2666,180,N,0,VBM PORTION,150,50,56,29
TORRANCE,7150021A,2666,180,N,1000,TOTAL,368,152,130,56
TORRANCE,7150022A,2667,185,N,1043,POLLING PLACE,140,34,73,16
TORRANCE,7150022A,2667,185,N,0,VBM PORTION,99,24,48,14
TORRANCE,7150022A,2667,185,N,1043,TOTAL,239,58,121,30
TORRANCE,7150023A,2668,180,N,969,POLLING PLACE,143,50,46,28
TORRANCE,7150023A,2668,180,N,0,VBM PORTION,103,40,32,16
TORRANCE,7150023A,2668,180,N,969,TOTAL,246,90,78,44
