LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEOFF RIZZO,KURT WEIDEMAN,AURELIO MATTUCCI,RYAN MAND,L KIMMEL-DAGOSTINO,RAHMAT KHAN,JOHN PAUL TABAKIAN,CLINT A PAULSON,MILTON HERRING,HEIDI ANN ASHCRAFT,OMAR NAVARRO,MIKE GRIFFITHS,TIM GOODRICH,CHARLOTTE A SVOLOS,ALEX M SEE,NORM SEGEL
TORRANCE,7150001A,2653,185,N,735,POLLING PLACE,93,34,21,11,11,31,9,7,7,20,38,5,18,29,18,14,2
TORRANCE,7150001A,2653,185,N,0,VBM PORTION,94,28,22,12,9,39,4,4,9,14,42,1,10,30,13,24,1
TORRANCE,7150001A,2653,185,N,735,TOTAL,187,62,43,23,20,70,13,11,16,34,80,6,28,59,31,38,3
TORRANCE,7150002A,2654,185,N,906,POLLING PLACE,163,29,44,31,6,47,9,12,25,39,78,4,19,52,19,31,1
TORRANCE,7150002A,2654,185,N,0,VBM PORTION,125,27,35,14,1,45,8,18,12,23,50,7,15,33,14,30,6
TORRANCE,7150002A,2654,185,N,906,TOTAL,288,56,79,45,7,92,17,30,37,62,128,11,34,85,33,61,7
TORRANCE,7150003A,2655,185,N,994,POLLING PLACE,113,14,51,13,5,31,20,11,9,25,33,6,11,50,21,17,6
TORRANCE,7150003A,2655,185,N,0,VBM PORTION,101,25,40,15,8,27,10,13,15,22,36,2,7,35,17,24,1
TORRANCE,7150003A,2655,185,N,994,TOTAL,214,39,91,28,13,58,30,24,24,47,69,8,18,85,38,41,7
TORRANCE,7150004A,2656,185,N,1245,POLLING PLACE,107,22,30,11,7,34,19,6,10,21,33,4,11,40,23,10,3
TORRANCE,7150004A,2656,185,N,0,VBM PORTION,126,30,38,16,6,34,15,7,19,25,38,1,18,33,22,29,3
TORRANCE,7150004A,2656,185,N,1245,TOTAL,233,52,68,27,13,68,34,13,29,46,71,5,29,73,45,39,6
TORRANCE,7150005A,2657,185,N,882,POLLING PLACE,109,20,32,16,6,33,13,10,12,35,27,7,16,33,17,12,5
TORRANCE,7150005A,2657,185,N,0,VBM PORTION,103,30,39,6,5,28,14,8,9,21,43,3,15,38,17,17,6
TORRANCE,7150005A,2657,185,N,882,TOTAL,212,50,71,22,11,61,27,18,21,56,70,10,31,71,34,29,11
TORRANCE,7150008A,2658,185,N,910,POLLING PLACE,93,23,29,7,7,27,9,13,6,15,36,3,17,33,21,12,1
TORRANCE,7150008A,2658,185,N,0,VBM PORTION,123,25,24,11,8,35,8,9,19,24,43,2,30,35,24,20,1
TORRANCE,7150008A,2658,185,N,910,TOTAL,216,48,53,18,15,62,17,22,25,39,79,5,47,68,45,32,2
TORRANCE,7150009A,2659,185,N,969,POLLING PLACE,117,24,36,11,6,46,15,16,19,26,44,6,17,30,21,20,10
TORRANCE,7150009A,2659,185,N,0,VBM PORTION,125,27,48,11,4,43,8,3,15,27,49,3,22,29,15,37,6
TORRANCE,7150009A,2659,185,N,969,TOTAL,242,51,84,22,10,89,23,19,34,53,93,9,39,59,36,57,16
TORRANCE,7150010A,2660,185,N,1478,POLLING PLACE,130,33,33,17,5,43,20,12,11,30,45,8,16,51,20,19,0
TORRANCE,7150010A,2660,185,N,0,VBM PORTION,171,49,49,16,12,52,19,10,21,32,68,14,20,61,33,24,5
TORRANCE,7150010A,2660,185,N,1478,TOTAL,301,82,82,33,17,95,39,22,32,62,113,22,36,112,53,43,5
TORRANCE,7150012A,2661,185,N,904,POLLING PLACE,103,19,30,12,10,26,18,10,13,24,33,2,12,35,22,15,4
TORRANCE,7150012A,2661,185,N,0,VBM PORTION,103,23,25,11,11,21,15,5,14,25,33,3,27,26,16,22,2
TORRANCE,7150012A,2661,185,N,904,TOTAL,206,42,55,23,21,47,33,15,27,49,66,5,39,61,38,37,6
TORRANCE,7150013A,2662,185,N,1369,POLLING PLACE,161,42,55,19,11,53,15,13,11,42,55,3,27,68,23,31,6
TORRANCE,7150013A,2662,185,N,0,VBM PORTION,176,50,48,17,6,58,13,14,18,43,52,3,22,67,30,45,4
TORRANCE,7150013A,2662,185,N,1369,TOTAL,337,92,103,36,17,111,28,27,29,85,107,6,49,135,53,76,10
TORRANCE,7150015A,2663,185,N,1238,POLLING PLACE,180,45,67,25,5,50,17,13,17,39,73,9,29,73,25,53,8
