LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,70,75
ACTON,0050003A,1,3,N,0,VBM PORTION,133,62,58
ACTON,0050003A,1,3,N,1086,TOTAL,288,132,133
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,54,47
ACTON,0050004A,2,3,N,0,VBM PORTION,132,62,54
ACTON,0050004A,2,3,N,820,TOTAL,242,116,101
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,57,52
ACTON,0050005A,3,3,N,0,VBM PORTION,83,41,33
ACTON,0050005A,3,3,N,748,TOTAL,205,98,85
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,34,19
ACTON,0050014A,4,3,N,0,VBM PORTION,57,32,18
ACTON,0050014A,4,3,N,488,TOTAL,114,66,37
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,12,7
ACTON,0050022A,6001,4,Y,61,TOTAL,22,12,7
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,1,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,1,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,57,74
ACTON,0050059A,5,3,N,0,VBM PORTION,122,61,41
ACTON,0050059A,5,3,N,1211,TOTAL,272,118,115
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,80,65
ACTON,0050061A,6,3,N,0,VBM PORTION,155,67,62
ACTON,0050061A,6,3,N,1159,TOTAL,308,147,127
