LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BOB HERTZBERG,RICARDO A BENITEZ,
BURBANK,0950016A,304,95,N,1175,POLLING PLACE,282,181,79,
BURBANK,0950016A,304,95,N,,VBM PORTION,115,60,46,
BURBANK,0950016A,304,95,N,1175,TOTAL,397,241,125,
BURBANK,0950035A,313,95,N,788,POLLING PLACE,157,107,40,
BURBANK,0950035A,313,95,N,,VBM PORTION,49,34,13,
BURBANK,0950035A,313,95,N,788,TOTAL,206,141,53,
BURBANK,0950178A,338,95,N,1237,POLLING PLACE,251,162,74,
BURBANK,0950178A,338,95,N,,VBM PORTION,114,71,36,
BURBANK,0950178A,338,95,N,1237,TOTAL,365,233,110,
BURBANK,0950186A,343,94,N,832,POLLING PLACE,131,69,58,
BURBANK,0950186A,343,94,N,,VBM PORTION,69,32,34,
BURBANK,0950186A,343,94,N,832,TOTAL,200,101,92,
BURBANK,0950187A,344,94,N,1039,POLLING PLACE,242,147,83,
BURBANK,0950187A,344,94,N,,VBM PORTION,83,57,25,
BURBANK,0950187A,344,94,N,1039,TOTAL,325,204,108,
BURBANK,0950189A,345,95,N,880,POLLING PLACE,206,136,60,
BURBANK,0950189A,345,95,N,,VBM PORTION,72,44,22,
BURBANK,0950189A,345,95,N,880,TOTAL,278,180,82,
BURBANK,0950191A,346,95,N,907,POLLING PLACE,206,120,71,
BURBANK,0950191A,346,95,N,,VBM PORTION,79,41,34,
BURBANK,0950191A,346,95,N,907,TOTAL,285,161,105,
BURBANK,0950193A,347,95,N,948,POLLING PLACE,181,104,65,
BURBANK,0950193A,347,95,N,,VBM PORTION,69,34,29,
BURBANK,0950193A,347,95,N,948,TOTAL,250,138,94,
BURBANK,0950194A,348,95,N,886,POLLING PLACE,208,125,75,
BURBANK,0950194A,348,95,N,,VBM PORTION,81,45,33,
BURBANK,0950194A,348,95,N,886,TOTAL,289,170,108,
SAN FERNANDO,6050001A,2310,55,N,825,POLLING PLACE,149,102,41,
SAN FERNANDO,6050001A,2310,55,N,,VBM PORTION,30,21,9,
SAN FERNANDO,6050001A,2310,55,N,825,TOTAL,179,123,50,
SAN FERNANDO,6050002A,2311,55,N,756,POLLING PLACE,141,93,43,
SAN FERNANDO,6050002A,2311,55,N,,VBM PORTION,36,27,7,
SAN FERNANDO,6050002A,2311,55,N,756,TOTAL,177,120,50,
SAN FERNANDO,6050005A,2312,55,N,1137,POLLING PLACE,201,123,57,
SAN FERNANDO,6050005A,2312,55,N,,VBM PORTION,49,33,13,
SAN FERNANDO,6050005A,2312,55,N,1137,TOTAL,250,156,70,
SAN FERNANDO,6050007A,2313,55,N,1154,POLLING PLACE,220,107,94,
SAN FERNANDO,6050007A,2313,55,N,,VBM PORTION,68,43,19,
SAN FERNANDO,6050007A,2313,55,N,1154,TOTAL,288,150,113,
SAN FERNANDO,6050009A,2314,55,N,1095,POLLING PLACE,222,138,70,
SAN FERNANDO,6050009A,2314,55,N,,VBM PORTION,36,24,11,
SAN FERNANDO,6050009A,2314,55,N,1095,TOTAL,258,162,81,
SAN FERNANDO,6050010A,2315,55,N,688,POLLING PLACE,129,84,35,
SAN FERNANDO,6050010A,2315,55,N,,VBM PORTION,25,21,2,
SAN FERNANDO,6050010A,2315,55,N,688,TOTAL,154,105,37,
SAN FERNANDO,6050012A,2316,55,N,966,POLLING PLACE,156,102,47,
SAN FERNANDO,6050012A,2316,55,N,,VBM PORTION,39,24,15,
SAN FERNANDO,6050012A,2316,55,N,966,TOTAL,195,126,62,
SAN FERNANDO,6050013A,2317,55,N,1017,POLLING PLACE,138,80,43,
SAN FERNANDO,6050013A,2317,55,N,,VBM PORTION,38,24,13,
SAN FERNANDO,6050013A,2317,55,N,1017,TOTAL,176,104,56,
SAN FERNANDO,6050016A,2318,55,N,915,POLLING PLACE,154,106,34,
SAN FERNANDO,6050016A,2318,55,N,,VBM PORTION,37,26,6,
SAN FERNANDO,6050016A,2318,55,N,915,TOTAL,191,132,40,
SUNLAND,6850028A,6245,56,Y,,POLLING PLACE,,,,
SUNLAND,6850028A,6245,56,Y,,VBM PORTION,,,,
SUNLAND,6850028A,6245,56,Y,,TOTAL,,,,
UNIVERSAL,7300001A,6252,125,Y,,POLLING PLACE,,,,
UNIVERSAL,7300001A,6252,125,Y,,VBM PORTION,,,,
UNIVERSAL,7300001A,6252,125,Y,,TOTAL,,,,
LOS ANGELES,9000009A,2991,55,N,759,POLLING PLACE,135,89,35,
LOS ANGELES,9000009A,2991,55,N,,VBM PORTION,30,17,12,
LOS ANGELES,9000009A,2991,55,N,759,TOTAL,165,106,47,
LOS ANGELES,9000019A,2994,55,N,798,POLLING PLACE,177,113,55,
LOS ANGELES,9000019A,2994,55,N,,VBM PORTION,58,37,18,
LOS ANGELES,9000019A,2994,55,N,798,TOTAL,235,150,73,
LOS ANGELES,9000027A,2999,55,N,1162,POLLING PLACE,158,107,37,
LOS ANGELES,9000027A,2999,55,N,,VBM PORTION,49,36,9,
LOS ANGELES,9000027A,2999,55,N,1162,TOTAL,207,143,46,
LOS ANGELES,9000036A,6271,56,Y,,POLLING PLACE,,,,
LOS ANGELES,9000036A,6271,56,Y,,VBM PORTION,,,,
LOS ANGELES,9000036A,6271,56,Y,,TOTAL,,,,
LOS ANGELES,9000046A,6272,60,Y,57,POLLING PLACE,,,,
LOS ANGELES,9000046A,6272,60,Y,,VBM PORTION,7,3,3,
LOS ANGELES,9000046A,6272,60,Y,57,TOTAL,7,3,3,
LOS ANGELES,9000060A,3018,55,N,1090,POLLING PLACE,188,131,51,
LOS ANGELES,9000060A,3018,55,N,,VBM PORTION,72,45,19,
LOS ANGELES,9000060A,3018,55,N,1090,TOTAL,260,176,70,
LOS ANGELES,9000061A,3019,55,N,1012,POLLING PLACE,134,94,37,
LOS ANGELES,9000061A,3019,55,N,,VBM PORTION,55,38,17,
LOS ANGELES,9000061A,3019,55,N,1012,TOTAL,189,132,54,
LOS ANGELES,9000068A,3024,59,N,812,POLLING PLACE,130,88,28,
LOS ANGELES,9000068A,3024,59,N,,VBM PORTION,45,32,9,
LOS ANGELES,9000068A,3024,59,N,812,TOTAL,175,120,37,
LOS ANGELES,9000069A,3025,55,N,791,POLLING PLACE,137,104,23,
LOS ANGELES,9000069A,3025,55,N,,VBM PORTION,29,27,,
LOS ANGELES,9000069A,3025,55,N,791,TOTAL,166,131,23,
LOS ANGELES,9000070A,3026,55,N,810,POLLING PLACE,136,93,37,
LOS ANGELES,9000070A,3026,55,N,,VBM PORTION,27,23,4,
LOS ANGELES,9000070A,3026,55,N,810,TOTAL,163,116,41,
LOS ANGELES,9000072A,3028,121,N,1149,POLLING PLACE,187,92,84,
LOS ANGELES,9000072A,3028,121,N,,VBM PORTION,76,43,27,
LOS ANGELES,9000072A,3028,121,N,1149,TOTAL,263,135,111,
LOS ANGELES,9000073A,3029,121,N,1190,POLLING PLACE,347,165,158,
LOS ANGELES,9000073A,3029,121,N,,VBM PORTION,60,30,27,
LOS ANGELES,9000073A,3029,121,N,1190,TOTAL,407,195,185,
LOS ANGELES,9000074A,3030,55,N,866,POLLING PLACE,150,82,57,
LOS ANGELES,9000074A,3030,55,N,,VBM PORTION,57,37,14,
LOS ANGELES,9000074A,3030,55,N,866,TOTAL,207,119,71,
LOS ANGELES,9000078A,3032,55,N,920,POLLING PLACE,161,93,53,
LOS ANGELES,9000078A,3032,55,N,,VBM PORTION,51,33,15,
LOS ANGELES,9000078A,3032,55,N,920,TOTAL,212,126,68,
LOS ANGELES,9000079C,3033,55,N,980,POLLING PLACE,159,103,36,
LOS ANGELES,9000079C,3033,55,N,,VBM PORTION,54,40,11,
LOS ANGELES,9000079C,3033,55,N,980,TOTAL,213,143,47,
LOS ANGELES,9000080A,3034,55,N,995,POLLING PLACE,155,109,35,
LOS ANGELES,9000080A,3034,55,N,,VBM PORTION,32,23,7,
LOS ANGELES,9000080A,3034,55,N,995,TOTAL,187,132,42,
LOS ANGELES,9000082A,3035,121,N,1298,POLLING PLACE,259,147,99,
LOS ANGELES,9000082A,3035,121,N,,VBM PORTION,101,53,40,
LOS ANGELES,9000082A,3035,121,N,1298,TOTAL,360,200,139,
LOS ANGELES,9000088A,3040,121,N,1081,POLLING PLACE,148,117,26,
LOS ANGELES,9000088A,3040,121,N,,VBM PORTION,42,32,9,
LOS ANGELES,9000088A,3040,121,N,1081,TOTAL,190,149,35,
LOS ANGELES,9000089A,3041,121,N,1060,POLLING PLACE,147,109,34,
LOS ANGELES,9000089A,3041,121,N,,VBM PORTION,45,34,10,
LOS ANGELES,9000089A,3041,121,N,1060,TOTAL,192,143,44,
LOS ANGELES,9000090A,3042,59,N,1028,POLLING PLACE,180,120,47,
LOS ANGELES,9000090A,3042,59,N,,VBM PORTION,50,32,16,
LOS ANGELES,9000090A,3042,59,N,1028,TOTAL,230,152,63,
LOS ANGELES,9000093A,3044,59,N,908,POLLING PLACE,101,79,13,
LOS ANGELES,9000093A,3044,59,N,,VBM PORTION,51,43,6,
LOS ANGELES,9000093A,3044,59,N,908,TOTAL,152,122,19,
LOS ANGELES,9000094A,3045,59,N,869,POLLING PLACE,138,97,37,
LOS ANGELES,9000094A,3045,59,N,,VBM PORTION,42,26,10,
LOS ANGELES,9000094A,3045,59,N,869,TOTAL,180,123,47,
LOS ANGELES,9000097C,3048,55,N,1059,POLLING PLACE,211,118,72,
LOS ANGELES,9000097C,3048,55,N,,VBM PORTION,42,20,21,
LOS ANGELES,9000097C,3048,55,N,1059,TOTAL,253,138,93,
LOS ANGELES,9000101A,3052,55,N,1125,POLLING PLACE,216,139,60,
LOS ANGELES,9000101A,3052,55,N,,VBM PORTION,55,39,12,
LOS ANGELES,9000101A,3052,55,N,1125,TOTAL,271,178,72,
LOS ANGELES,9000102A,3053,121,N,1027,POLLING PLACE,163,98,51,
LOS ANGELES,9000102A,3053,121,N,,VBM PORTION,66,41,20,
LOS ANGELES,9000102A,3053,121,N,1027,TOTAL,229,139,71,
LOS ANGELES,9000107A,3055,55,N,980,POLLING PLACE,137,86,38,
