LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ED HERNANDEZ,MARC RODRIGUEZ,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,131,50,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,42,24,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,173,74,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,89,26,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,29,16,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,118,42,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,150,82,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,55,39,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,205,121,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,128,49,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,41,14,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,169,63,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,125,45,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,40,13,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,165,58,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,187,65,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,81,26,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,268,91,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,128,29,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,39,18,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,167,47,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,102,35,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,36,11,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,138,46,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,126,68,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,36,25,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,162,93,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,96,67,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,27,32,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,123,99,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,130,43,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,35,10,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,165,53,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,104,47,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,67,37,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,171,84,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,134,57,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,40,15,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,174,72,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,158,48,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,45,19,
